vehicle_id,brand,model,battery_type,battery_capacity_kwh,model_year,electric_range_km,state
WA-144229830,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-134528019,NISSAN,LEAF,BEV,24.58,2014,135.18,WA
WA-258148719,TESLA,MODEL 3,BEV,90.12,2020,495.68,WA
WA-111690687,NISSAN,LEAF,BEV,21.36,2012,117.48,WA
WA-261320776,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-476060392,CHRYSLER,PACIFICA,PHEV,20.0,2018,53.11,WA
WA-330872573,NISSAN,LEAF,BEV,43.89,2019,241.4,WA
WA-172479968,CHEVROLET,BOLT EV,BEV,69.64,2017,383.02,WA
WA-246351927,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-181532130,NISSAN,LEAF,BEV,21.36,2012,117.48,WA
WA-3273763,TESLA,MODEL S,BEV,72.86,2018,400.73,WA
WA-8874211,HYUNDAI,IONIQ,PHEV,20.0,2020,46.67,WA
WA-225816587,TESLA,MODEL S,BEV,79.0,2019,434.52,WA
WA-135000148,KIA,SOUL,BEV,27.21,2016,149.67,WA
WA-177568856,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-112744838,TESLA,MODEL 3,BEV,94.22,2020,518.21,WA
WA-256013026,BMW,330E,PHEV,20.0,2024,35.41,WA
WA-226329071,TESLA,MODEL S,BEV,61.45,2016,337.96,WA
WA-478472879,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-127281031,TESLA,MODEL 3,BEV,77.83,2020,428.08,WA
WA-273089988,AUDI,Q5 E,PHEV,20.0,2024,37.01,WA
WA-240681703,JEEP,WRANGLER,PHEV,20.0,2023,33.8,WA
WA-127473230,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-150308147,CHEVROLET,VOLT,PHEV,20.0,2017,85.3,WA
WA-104691751,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-202938606,VOLVO,XC90,PHEV,20.0,2022,56.33,WA
WA-207302462,KIA,SORENTO,PHEV,20.0,2022,51.5,WA
WA-350269272,CHEVROLET,BOLT EV,BEV,69.64,2017,383.02,WA
WA-207343356,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-265423210,JEEP,GRAND CHEROKEE,PHEV,20.0,2024,40.23,WA
WA-244922849,JEEP,WRANGLER,PHEV,20.0,2023,33.8,WA
WA-129845040,TESLA,MODEL X,BEV,58.52,2016,321.87,WA
WA-235282379,TESLA,MODEL X,BEV,69.64,2018,383.02,WA
WA-260771871,TOYOTA,RAV4 PRIME,PHEV,20.0,2024,67.59,WA
WA-196148396,KIA,SORENTO,PHEV,20.0,2022,51.5,WA
WA-9074544,NISSAN,LEAF,BEV,43.89,2019,241.4,WA
WA-263303099,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-4795598,TESLA,MODEL 3,BEV,94.22,2020,518.21,WA
WA-111996916,FIAT,500,BEV,24.58,2017,135.18,WA
WA-275389719,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-224616801,BMW,X5,PHEV,20.0,2023,48.28,WA
WA-214448048,BMW,I3,PHEV,21.07,2014,115.87,WA
WA-103095842,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-122670621,TESLA,MODEL X,BEV,58.52,2016,321.87,WA
WA-219604451,KIA,NIRO,PHEV,20.0,2019,41.84,WA
WA-315650730,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-230206245,BMW,X5,PHEV,20.0,2023,48.28,WA
WA-269158305,BMW,530E,PHEV,20.0,2021,33.8,WA
WA-230264730,TESLA,MODEL S,BEV,77.54,2012,426.48,WA
WA-261532414,MAZDA,CX-90,PHEV,20.0,2024,41.84,WA
WA-106482806,CHEVROLET,VOLT,PHEV,20.0,2011,56.33,WA
WA-249879934,TESLA,MODEL S,BEV,61.45,2016,337.96,WA
WA-478012545,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-103401581,TESLA,MODEL 3,BEV,77.83,2020,428.08,WA
WA-148905543,KIA,SOUL,BEV,27.21,2016,149.67,WA
WA-313694727,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-347543220,TESLA,MODEL X,BEV,69.64,2018,383.02,WA
WA-246535698,KIA,SOUL,BEV,27.21,2016,149.67,WA
WA-179712795,MERCEDES-BENZ,GLC-CLASS,PHEV,20.0,2019,16.09,WA
WA-225623513,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-8158447,VOLVO,XC90,PHEV,20.0,2017,22.53,WA
WA-272657227,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-177873230,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-261602127,KIA,SORENTO,PHEV,20.0,2024,51.5,WA
WA-102045065,AUDI,A3,PHEV,20.0,2016,25.75,WA
WA-474819026,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-141273737,TESLA,MODEL X,BEV,69.64,2018,383.02,WA
WA-275755000,TOYOTA,RAV4 PRIME,PHEV,20.0,2025,67.59,WA
WA-342987641,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-271680699,MAZDA,CX-70,PHEV,20.0,2025,41.84,WA
WA-260554178,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-267085227,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-4874894,FIAT,500,BEV,24.58,2017,135.18,WA
WA-127484339,TESLA,MODEL 3,BEV,77.83,2020,428.08,WA
WA-102434741,TESLA,MODEL 3,BEV,94.22,2020,518.21,WA
WA-249659105,TESLA,MODEL X,BEV,58.52,2017,321.87,WA
WA-256140832,MAZDA,CX-90,PHEV,20.0,2024,41.84,WA
WA-204695333,BMW,I3,PHEV,36.87,2019,202.78,WA
WA-214384901,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-316745467,KIA,NIRO,PHEV,20.0,2019,41.84,WA
WA-173904258,TESLA,MODEL S,BEV,61.45,2016,337.96,WA
WA-180884343,HONDA,CLARITY,PHEV,20.0,2018,75.64,WA
WA-193704164,TOYOTA,RAV4 PRIME,PHEV,20.0,2021,67.59,WA
WA-240744927,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-135135983,FORD,C-MAX,PHEV,20.0,2013,30.58,WA
WA-256177120,MITSUBISHI,OUTLANDER,PHEV,20.0,2019,35.41,WA
WA-223330852,TESLA,MODEL S,BEV,60.86,2015,334.74,WA
WA-110064552,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-258349892,TOYOTA,RAV4 PRIME,PHEV,20.0,2024,67.59,WA
WA-348887024,TOYOTA,PRIUS PLUG-IN,PHEV,20.0,2013,9.66,WA
WA-186727866,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-263223852,JEEP,WRANGLER,PHEV,20.0,2024,33.8,WA
WA-202194478,AUDI,Q5,PHEV,20.0,2022,37.01,WA
WA-109161790,TESLA,MODEL S,BEV,60.86,2013,334.74,WA
WA-149256796,CHEVROLET,BOLT EV,BEV,75.79,2020,416.82,WA
WA-153331706,NISSAN,LEAF,BEV,21.36,2012,117.48,WA
WA-108794451,TOYOTA,PRIUS PRIME,PHEV,20.0,2017,40.23,WA
WA-127383784,NISSAN,LEAF,BEV,31.31,2017,172.2,WA
WA-109805566,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-473622845,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-242633380,NISSAN,LEAF,BEV,21.36,2012,117.48,WA
WA-159514330,TESLA,MODEL S,BEV,60.86,2013,334.74,WA
WA-267680542,LEXUS,NX,PHEV,20.0,2024,59.55,WA
WA-263423940,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-261607769,FORD,C-MAX,PHEV,20.0,2014,30.58,WA
WA-478751857,CHEVROLET,BOLT EV,BEV,69.64,2019,383.02,WA
WA-275122970,CHRYSLER,PACIFICA,PHEV,20.0,2023,51.5,WA
WA-256698613,TESLA,MODEL X,BEV,69.64,2018,383.02,WA
WA-288268921,NISSAN,LEAF,BEV,44.18,2018,243.01,WA
WA-179454957,BMW,X5,PHEV,20.0,2022,48.28,WA
WA-8004671,TESLA,MODEL S,BEV,61.45,2016,337.96,WA
WA-2317661,TESLA,MODEL 3,BEV,77.83,2020,428.08,WA
WA-227525203,AUDI,Q5 E,PHEV,20.0,2023,37.01,WA
WA-195123932,KIA,SOUL,BEV,27.21,2016,149.67,WA
WA-3661675,TESLA,MODEL 3,BEV,90.12,2020,495.68,WA
WA-138313241,CHEVROLET,BOLT EV,BEV,75.79,2020,416.82,WA
WA-265714445,TESLA,MODEL X,BEV,58.52,2016,321.87,WA
WA-297378315,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-127490086,CHRYSLER,PACIFICA,PHEV,20.0,2020,51.5,WA
WA-442670168,NISSAN,LEAF,BEV,44.18,2018,243.01,WA
WA-251291386,TESLA,MODEL 3,BEV,94.22,2020,518.21,WA
WA-148838140,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-261987589,CHEVROLET,BOLT EV,BEV,75.79,2020,416.82,WA
WA-251454745,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-172819517,JEEP,WRANGLER,PHEV,20.0,2021,40.23,WA
WA-204216344,TESLA,MODEL 3,BEV,62.91,2018,346.01,WA
WA-233665736,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-271763922,KIA,SPORTAGE,PHEV,20.0,2024,54.72,WA
WA-236648275,NISSAN,LEAF,BEV,24.58,2015,135.18,WA
WA-153892448,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-220561386,TESLA,MODEL X,BEV,85.73,2020,471.54,WA
WA-236222892,TESLA,MODEL 3,BEV,64.37,2019,354.05,WA
WA-273908883,AUDI,Q5 E,PHEV,20.0,2024,37.01,WA
WA-249805902,TESLA,MODEL 3,BEV,94.22,2020,518.21,WA
WA-478713336,KIA,NIRO,BEV,69.93,2019,384.63,WA
WA-230289853,KIA,SOUL,BEV,27.21,2015,149.67,WA
WA-188128825,NISSAN,LEAF,BEV,21.95,2013,120.7,WA
WA-267355553,KIA,SORENTO,PHEV,20.0,2025,48.28,WA
WA-208518453,BMW,I3,BEV,23.7,2015,130.36,WA
WA-121817706,TESLA,MODEL Y,BEV,85.15,2020,468.32,WA
WA-126065327,FIAT,500,BEV,24.58,2017,135.18,WA
