vehicle_id,sample_count,health_score,risk_level,capacity_score,range_score,temperature_score,voltage_score,mean_temperature_c,max_temperature_c,voltage_std,capacity_retention,risk_reasons
EV000021,8,70.41,关注,55.26,72.99,100.0,64.13,29.2,31.61,4.4841,0.5526,容量保持率偏低；电压波动较大；估算续航偏低
EV000022,10,71.57,关注,61.88,83.97,100.0,44.58,28.02,30.83,6.9276,0.6188,容量保持率偏低；电压波动较大
EV000023,13,64.51,关注,69.23,92.08,35.94,50.36,42.98,49.05,6.2046,0.6923,容量保持率偏低；存在高温记录；电压波动较大
EV000024,13,74.56,关注,72.22,95.64,100.0,26.85,27.76,30.72,9.1441,0.7222,容量保持率偏低；电压波动较大
EV000025,13,75.81,良好,84.4,100.0,97.44,8.93,30.64,34.26,11.3842,0.844,电压波动较大
EV000026,7,85.11,良好,82.64,100.0,100.0,55.94,29.99,33.8,5.5077,0.8264,电压波动较大
EV000027,15,87.88,良好,100.0,100.0,100.0,39.42,29.93,34.99,7.572,1.0058,电压波动较大
EV000028,9,70.86,关注,64.6,86.21,99.67,33.85,30.08,32.34,8.2688,0.646,容量保持率偏低；电压波动较大
EV000029,13,78.57,良好,71.83,97.23,100.0,45.6,29.4,34.9,6.7995,0.7183,容量保持率偏低；电压波动较大
EV000030,13,90.75,健康,98.88,100.0,100.0,55.73,28.26,31.99,5.5338,0.9888,电压波动较大
EV000031,16,72.29,关注,61.01,81.86,98.43,53.9,30.39,37.71,5.7625,0.6101,容量保持率偏低；电压波动较大
EV000032,7,85.14,良好,82.46,100.0,100.0,56.41,28.48,32.68,5.4486,0.8246,电压波动较大
EV000033,20,61.72,关注,50.32,67.28,100.0,36.43,29.52,37.15,7.9462,0.5032,容量保持率偏低；电压波动较大；估算续航偏低
EV000034,10,58.48,高风险,63.68,85.57,20.42,53.59,46.01,50.19,5.8011,0.6368,容量保持率偏低；存在高温记录；电压波动较大
EV000035,12,85.72,良好,99.17,100.0,100.0,30.06,29.45,33.51,8.7426,0.9917,电压波动较大
EV000036,17,80.64,良好,82.63,100.0,100.0,33.6,28.02,35.02,8.2999,0.8263,电压波动较大
EV000037,18,76.45,良好,75.85,100.0,100.0,24.51,28.86,34.05,9.4367,0.7585,电压波动较大
EV000038,8,76.14,良好,63.17,84.05,100.0,65.07,29.0,33.81,4.3658,0.6317,容量保持率偏低；电压波动较大
EV000039,14,86.71,良好,85.09,100.0,100.0,59.64,28.71,32.16,5.0448,0.8509,电压波动较大
EV000040,8,90.49,健康,84.62,100.0,100.0,79.39,29.51,34.9,2.5768,0.8462,未发现明显风险
EV000041,12,50.67,高风险,62.71,84.3,16.26,21.96,46.0,51.59,9.7551,0.6271,容量保持率偏低；存在高温记录；电压波动较大
EV000042,11,78.69,良好,71.93,95.96,100.0,47.62,27.4,31.88,6.5476,0.7193,容量保持率偏低；电压波动较大
EV000043,12,87.16,良好,100.0,100.0,100.0,35.79,28.62,33.87,8.0263,1.0061,电压波动较大
EV000044,7,76.8,良好,100.0,100.0,23.01,60.98,45.11,50.51,4.877,1.0048,存在高温记录；电压波动较大
EV000045,11,89.65,良好,99.95,100.0,100.0,48.32,29.27,36.7,6.4597,0.9995,电压波动较大
EV000046,11,79.22,良好,76.65,100.0,100.0,36.94,29.18,31.93,7.882,0.7665,电压波动较大
EV000047,10,67.3,关注,65.04,85.69,98.68,16.87,30.33,34.79,10.3908,0.6504,容量保持率偏低；电压波动较大
EV000048,12,76.65,良好,83.57,100.0,100.0,11.99,29.53,35.01,11.0014,0.8357,电压波动较大
EV000049,12,67.55,关注,64.53,85.71,100.0,17.7,29.6,33.69,10.2878,0.6453,容量保持率偏低；电压波动较大
EV000050,8,69.34,关注,49.23,65.06,100.0,79.21,28.77,33.64,2.5982,0.4923,容量保持率偏低；估算续航偏低
EV000051,10,59.12,高风险,71.64,93.66,21.69,31.45,46.65,48.9,8.5684,0.7164,容量保持率偏低；存在高温记录；电压波动较大
EV000052,13,75.27,良好,70.79,95.11,98.63,34.93,30.34,34.62,8.1343,0.7079,容量保持率偏低；电压波动较大
EV000053,7,88.05,良好,100.0,100.0,100.0,40.26,28.91,31.39,7.4675,1.0355,电压波动较大
EV000054,12,80.12,良好,77.88,100.0,100.0,39.33,28.82,32.97,7.5838,0.7788,电压波动较大
EV000055,10,73.3,关注,64.24,85.59,100.0,47.07,28.23,31.5,6.6157,0.6424,容量保持率偏低；电压波动较大
EV000056,13,65.21,关注,83.35,100.0,16.54,38.67,46.58,50.71,7.6658,0.8335,存在高温记录；电压波动较大
EV000057,12,70.95,关注,55.96,73.32,100.0,65.16,28.06,33.46,4.3554,0.5596,容量保持率偏低；电压波动较大；估算续航偏低
EV000058,13,88.88,良好,100.0,100.0,100.0,44.38,29.07,33.16,6.9528,1.0079,电压波动较大
EV000059,11,91.71,健康,100.0,100.0,100.0,58.55,28.7,32.96,5.1812,1.0007,电压波动较大
EV000060,13,67.44,关注,55.53,73.28,100.0,48.42,29.63,35.84,6.4477,0.5553,容量保持率偏低；电压波动较大；估算续航偏低
EV000061,11,81.18,良好,77.19,100.0,100.0,45.85,28.57,32.02,6.7693,0.7719,电压波动较大
EV000062,11,71.37,关注,61.48,81.91,99.47,47.42,30.13,36.15,6.5729,0.6148,容量保持率偏低；电压波动较大
EV000063,17,78.35,良好,78.49,100.0,100.0,29.4,28.06,32.56,8.8256,0.7849,电压波动较大
EV000064,9,75.83,良好,71.12,94.86,100.0,36.12,29.81,34.21,7.9855,0.7112,容量保持率偏低；电压波动较大
EV000065,17,84.58,良好,83.59,100.0,100.0,51.6,28.52,33.2,6.0497,0.8359,电压波动较大
EV000066,11,66.96,关注,64.35,86.4,100.0,14.2,29.83,33.57,10.7254,0.6435,容量保持率偏低；电压波动较大
EV000067,12,67.22,关注,61.85,82.08,100.0,25.27,29.17,35.11,9.3416,0.6185,容量保持率偏低；电压波动较大
EV000068,12,85.08,良好,85.07,100.0,100.0,51.55,29.0,33.19,6.0559,0.8507,电压波动较大
EV000069,13,65.09,关注,53.96,72.21,100.0,40.75,27.42,32.98,7.4068,0.5396,容量保持率偏低；电压波动较大；估算续航偏低
EV000070,15,73.68,关注,63.18,84.37,100.0,52.37,28.58,34.45,5.9541,0.6318,容量保持率偏低；电压波动较大
EV000071,9,69.61,关注,64.4,83.75,99.31,31.34,30.17,33.94,8.5826,0.644,容量保持率偏低；电压波动较大
EV000072,8,82.25,良好,84.61,100.0,100.0,38.16,29.71,35.94,7.7295,0.8461,电压波动较大
EV000073,13,71.87,关注,63.28,84.1,100.0,43.47,29.66,32.18,7.0661,0.6328,容量保持率偏低；电压波动较大
EV000074,10,78.09,良好,72.42,95.5,100.0,44.33,28.78,37.5,6.9584,0.7242,容量保持率偏低；电压波动较大
EV000075,13,73.73,关注,63.08,83.13,100.0,54.33,27.79,33.41,5.7086,0.6308,容量保持率偏低；电压波动较大
EV000076,11,67.52,关注,83.29,100.0,31.5,35.35,45.14,47.64,8.0812,0.8329,存在高温记录；电压波动较大
EV000077,9,77.34,良好,85.42,100.0,100.0,12.21,27.33,32.37,10.9742,0.8542,电压波动较大
EV000078,12,75.74,良好,73.06,98.36,100.0,27.91,28.72,33.61,9.0115,0.7306,容量保持率偏低；电压波动较大
EV000079,16,87.1,良好,84.15,100.0,100.0,63.24,28.41,33.9,4.5945,0.8415,电压波动较大
EV000080,7,90.54,健康,98.46,100.0,100.0,55.37,28.54,31.45,5.5784,0.9846,电压波动较大
EV000081,7,90.09,健康,100.0,100.0,100.0,50.44,27.96,29.85,6.1946,1.0151,电压波动较大
EV000082,25,64.18,关注,83.42,100.0,19.36,30.54,45.58,51.1,8.683,0.8342,存在高温记录；电压波动较大
EV000083,19,66.41,关注,54.5,73.55,100.0,44.76,29.47,33.34,6.9054,0.545,容量保持率偏低；电压波动较大；估算续航偏低
EV000084,14,82.27,良好,84.17,100.0,100.0,39.07,28.39,33.43,7.6168,0.8417,电压波动较大
EV000085,12,76.84,良好,72.36,96.51,100.0,36.96,28.74,32.63,7.8805,0.7236,容量保持率偏低；电压波动较大
EV000086,12,69.31,关注,83.42,100.0,22.63,52.96,45.26,50.45,5.8802,0.8342,存在高温记录；电压波动较大
EV000087,11,70.73,关注,64.73,87.65,98.68,32.15,30.33,35.0,8.4813,0.6473,容量保持率偏低；电压波动较大
EV000088,13,65.85,关注,98.7,100.0,12.04,19.47,46.27,52.63,10.0658,0.987,存在高温记录；电压波动较大
EV000089,13,74.24,关注,66.69,88.31,100.0,44.12,28.55,40.0,6.9855,0.6669,容量保持率偏低；电压波动较大
EV000090,15,77.46,良好,73.52,98.6,100.0,35.38,28.56,32.17,8.078,0.7352,容量保持率偏低；电压波动较大
EV000091,10,73.88,关注,72.52,95.89,100.0,22.61,29.8,36.22,9.6738,0.7252,容量保持率偏低；电压波动较大
EV000092,11,77.35,良好,71.97,95.51,100.0,41.39,28.51,35.36,7.3259,0.7197,容量保持率偏低；电压波动较大
EV000093,10,85.21,良好,82.48,100.0,99.76,56.96,30.06,37.22,5.3795,0.8248,电压波动较大
EV000094,14,82.62,良好,76.43,100.0,100.0,54.33,28.04,32.79,5.7087,0.7643,电压波动较大
EV000095,15,55.7,高风险,60.94,80.31,16.43,55.03,46.31,51.1,5.6207,0.6094,容量保持率偏低；存在高温记录；电压波动较大
EV000096,9,52.78,高风险,63.7,85.12,8.67,37.34,46.96,52.83,7.833,0.637,容量保持率偏低；存在高温记录；电压波动较大
EV000097,10,59.01,高风险,49.31,65.02,100.0,27.51,29.14,32.71,9.0619,0.4931,容量保持率偏低；电压波动较大；估算续航偏低
EV000098,8,83.95,良好,72.3,95.73,100.0,73.54,27.29,31.05,3.3069,0.723,容量保持率偏低；电压波动较大
EV000099,15,71.28,关注,63.28,84.32,100.0,40.24,27.86,33.1,7.4702,0.6328,容量保持率偏低；电压波动较大
EV000100,14,60.36,关注,48.92,66.16,100.0,33.48,29.16,35.44,8.3144,0.4892,容量保持率偏低；电压波动较大；估算续航偏低
EV000101,13,72.93,关注,66.31,87.67,98.89,40.14,30.28,37.63,7.4823,0.6631,容量保持率偏低；电压波动较大
EV000102,18,70.76,关注,62.06,82.32,100.0,42.29,28.58,34.86,7.2134,0.6206,容量保持率偏低；电压波动较大
EV000103,14,65.93,关注,72.17,95.52,18.57,65.4,45.99,50.82,4.3248,0.7217,容量保持率偏低；存在高温记录；电压波动较大
EV000104,10,67.36,关注,62.81,83.94,100.0,21.94,28.56,32.16,9.7575,0.6281,容量保持率偏低；电压波动较大
EV000105,13,59.13,高风险,46.53,61.84,99.73,37.19,30.07,35.3,7.851,0.4653,容量保持率偏低；电压波动较大；估算续航偏低
EV000106,10,72.58,关注,63.93,85.76,100.0,43.83,29.21,32.15,7.0216,0.6393,容量保持率偏低；电压波动较大
EV000107,12,55.52,高风险,62.14,82.35,24.76,41.19,44.98,50.1,7.3517,0.6214,容量保持率偏低；存在高温记录；电压波动较大
EV000108,13,69.8,关注,61.15,81.42,100.0,40.23,28.43,32.51,7.4717,0.6115,容量保持率偏低；电压波动较大
EV000109,13,60.13,关注,69.64,91.95,37.1,26.75,43.62,47.81,9.1562,0.6964,容量保持率偏低；存在高温记录；电压波动较大
EV000110,6,79.6,良好,63.56,84.42,100.0,81.24,28.03,31.5,2.3452,0.6356,容量保持率偏低
EV000111,19,54.28,高风险,64.63,86.54,24.77,25.35,45.21,49.8,9.3312,0.6463,容量保持率偏低；存在高温记录；电压波动较大
EV000112,13,68.21,关注,61.4,81.66,100.0,31.54,29.89,36.9,8.5571,0.614,容量保持率偏低；电压波动较大
EV000113,10,65.03,关注,73.07,97.89,26.55,48.36,44.95,49.55,6.4552,0.7307,容量保持率偏低；存在高温记录；电压波动较大
EV000114,17,81.65,良好,84.94,100.0,100.0,34.6,28.37,32.71,8.1755,0.8494,电压波动较大
EV000115,14,87.91,良好,99.67,100.0,100.0,40.13,28.0,34.77,7.4842,0.9967,电压波动较大
EV000116,17,89.71,良好,100.0,100.0,100.0,48.53,28.77,34.98,6.4335,1.0077,电压波动较大
EV000117,9,74.14,关注,72.54,96.61,100.0,22.99,28.97,31.58,9.6263,0.7254,容量保持率偏低；电压波动较大
EV000118,11,61.72,关注,48.13,63.82,100.0,44.59,28.59,30.69,6.9266,0.4813,容量保持率偏低；电压波动较大；估算续航偏低
EV000119,13,73.6,关注,72.23,95.56,100.0,22.14,28.72,36.37,9.7325,0.7223,容量保持率偏低；电压波动较大
EV000120,10,69.83,关注,63.14,85.01,100.0,32.41,29.27,32.97,8.449,0.6314,容量保持率偏低；电压波动较大
EV000121,15,71.3,关注,100.0,100.0,19.16,37.35,46.1,50.47,7.831,1.0165,存在高温记录；电压波动较大
EV000122,10,72.92,关注,63.68,84.61,100.0,47.4,29.06,33.45,6.5749,0.6368,容量保持率偏低；电压波动较大
EV000123,14,88.68,良好,100.0,100.0,100.0,43.41,29.74,32.28,7.0736,1.0008,电压波动较大
EV000124,10,76.33,良好,63.81,86.53,100.0,61.82,28.79,32.27,4.7726,0.6381,容量保持率偏低；电压波动较大
EV000125,16,84.24,良好,100.0,100.0,100.0,21.22,28.08,32.2,9.848,1.0008,电压波动较大
EV000126,6,73.02,关注,71.81,95.59,100.0,19.96,28.52,35.51,10.0054,0.7181,容量保持率偏低；电压波动较大
EV000127,12,54.2,高风险,63.82,84.98,13.52,39.57,46.62,51.67,7.5533,0.6382,容量保持率偏低；存在高温记录；电压波动较大
EV000128,8,72.34,关注,65.47,87.11,97.36,40.86,30.66,33.03,7.3921,0.6547,容量保持率偏低；电压波动较大
EV000129,14,83.3,良好,77.45,100.0,100.0,55.96,29.69,33.58,5.5053,0.7745,电压波动较大
EV000130,14,63.93,关注,55.56,74.46,100.0,29.35,27.99,31.43,8.8311,0.5556,容量保持率偏低；电压波动较大；估算续航偏低
EV000131,15,68.16,关注,63.8,86.88,100.0,20.58,28.27,34.46,9.9277,0.638,容量保持率偏低；电压波动较大
EV000132,14,50.78,高风险,63.14,83.08,11.71,27.84,46.83,51.99,9.0196,0.6314,容量保持率偏低；存在高温记录；电压波动较大
EV000133,6,75.53,良好,69.48,93.4,100.0,39.31,28.43,34.79,7.5863,0.6948,容量保持率偏低；电压波动较大
EV000134,10,87.36,良好,100.0,100.0,100.0,36.79,28.36,32.42,7.9009,1.0124,电压波动较大
EV000135,13,89.75,良好,99.61,100.0,100.0,49.44,29.65,35.02,6.3196,0.9961,电压波动较大
EV000136,9,58.61,高风险,62.93,83.64,23.48,54.89,45.52,49.81,5.6384,0.6293,容量保持率偏低；存在高温记录；电压波动较大
EV000137,13,61.62,关注,72.68,94.73,16.04,46.48,45.72,52.03,6.69,0.7268,容量保持率偏低；存在高温记录；电压波动较大
EV000138,11,77.68,良好,71.78,95.26,100.0,43.69,29.06,33.7,7.0382,0.7178,容量保持率偏低；电压波动较大
EV000139,11,75.25,良好,63.8,85.95,100.0,57.18,28.53,31.67,5.3526,0.638,容量保持率偏低；电压波动较大
EV000140,14,56.06,高风险,64.55,85.56,29.98,30.42,44.64,48.82,8.6969,0.6455,容量保持率偏低；存在高温记录；电压波动较大
EV000141,15,58.91,高风险,81.88,100.0,8.9,17.37,47.57,51.94,10.3288,0.8188,存在高温记录；电压波动较大
EV000142,8,80.5,良好,83.75,100.0,100.0,30.93,28.49,33.4,8.6333,0.8375,电压波动较大
EV000143,9,76.49,良好,70.87,93.33,97.87,43.87,30.53,37.27,7.0158,0.7087,容量保持率偏低；电压波动较大
EV000144,17,71.08,关注,63.72,85.97,100.0,36.4,29.75,33.73,7.9502,0.6372,容量保持率偏低；电压波动较大
EV000145,11,67.09,关注,61.84,83.1,98.13,25.22,30.47,33.64,9.3469,0.6184,容量保持率偏低；电压波动较大
EV000146,17,88.08,良好,100.0,100.0,100.0,40.42,27.99,33.13,7.4475,1.0145,电压波动较大
EV000147,12,74.87,关注,64.66,87.19,98.75,53.45,30.31,36.57,5.8182,0.6466,容量保持率偏低；电压波动较大
EV000148,11,73.91,关注,72.0,95.42,100.0,24.29,28.87,33.79,9.4637,0.72,容量保持率偏低；电压波动较大
EV000149,12,66.57,关注,62.66,83.33,100.0,19.03,28.46,33.09,10.1216,0.6266,容量保持率偏低；电压波动较大
EV000150,13,71.43,关注,62.52,83.15,100.0,43.81,28.42,33.24,7.0232,0.6252,容量保持率偏低；电压波动较大
EV000151,9,89.67,良好,100.0,100.0,100.0,48.35,29.82,35.53,6.4566,1.0234,电压波动较大
EV000152,11,80.7,良好,72.41,97.15,100.0,55.32,28.38,33.41,5.5847,0.7241,容量保持率偏低；电压波动较大
EV000153,14,78.92,良好,78.14,100.0,95.95,36.88,31.01,35.47,7.8894,0.7814,电压波动较大
EV000154,11,89.12,良好,100.0,100.0,100.0,45.62,27.87,32.04,6.7971,1.0048,电压波动较大
EV000155,12,64.31,关注,84.93,100.0,15.75,32.2,46.58,50.98,8.4754,0.8493,存在高温记录；电压波动较大
EV000156,10,62.34,关注,62.09,83.52,97.69,0.97,30.58,36.84,12.3791,0.6209,容量保持率偏低；电压波动较大
EV000157,14,63.86,关注,57.79,77.48,100.0,21.32,28.0,31.48,9.835,0.5779,容量保持率偏低；电压波动较大
EV000158,14,74.08,关注,71.37,96.77,100.0,24.56,27.67,32.38,9.4301,0.7137,容量保持率偏低；电压波动较大
EV000159,10,91.18,健康,98.06,100.0,100.0,59.31,28.3,31.53,5.0865,0.9806,电压波动较大
EV000160,14,72.85,关注,64.24,84.92,100.0,45.66,28.74,31.71,6.7928,0.6424,容量保持率偏低；电压波动较大
EV000161,8,81.73,良好,77.44,100.0,100.0,48.12,29.01,31.6,6.4856,0.7744,电压波动较大
EV000162,8,75.27,良好,63.63,84.91,100.0,58.86,29.99,34.98,5.1428,0.6363,容量保持率偏低；电压波动较大
EV000163,14,81.63,良好,82.0,100.0,100.0,39.65,29.5,35.43,7.5436,0.82,电压波动较大
EV000164,16,64.32,关注,49.07,65.5,100.0,53.83,27.96,33.45,5.7711,0.4907,容量保持率偏低；电压波动较大；估算续航偏低
EV000165,8,87.61,良好,100.0,100.0,100.0,38.03,28.76,34.9,7.7462,1.0204,电压波动较大
EV000166,12,69.79,关注,62.65,84.37,96.79,37.07,30.8,33.97,7.8661,0.6265,容量保持率偏低；电压波动较大
EV000167,11,74.62,关注,71.06,93.93,100.0,31.35,28.87,33.46,8.5819,0.7106,容量保持率偏低；电压波动较大
EV000168,11,78.58,良好,72.67,97.53,100.0,43.81,28.61,33.6,7.0239,0.7267,容量保持率偏低；电压波动较大
EV000169,14,77.16,良好,72.81,95.46,100.0,39.03,28.34,35.6,7.6216,0.7281,容量保持率偏低；电压波动较大
EV000170,10,76.16,良好,79.04,100.0,100.0,17.5,29.81,37.66,10.3128,0.7904,电压波动较大
EV000171,13,79.98,良好,83.01,100.0,100.0,29.61,28.04,30.95,8.7993,0.8301,电压波动较大
EV000172,16,75.71,良好,70.79,96.66,100.0,33.82,28.74,34.83,8.273,0.7079,容量保持率偏低；电压波动较大
EV000173,9,60.33,关注,47.28,63.11,100.0,40.04,29.76,35.65,7.4946,0.4728,容量保持率偏低；电压波动较大；估算续航偏低
EV000174,13,75.9,良好,71.05,94.15,100.0,37.49,28.27,31.58,7.8138,0.7105,容量保持率偏低；电压波动较大
EV000175,11,73.51,关注,71.62,95.36,100.0,23.04,28.33,31.42,9.6203,0.7162,容量保持率偏低；电压波动较大
EV000176,12,75.44,良好,68.92,90.92,100.0,42.92,29.15,33.14,7.1345,0.6892,容量保持率偏低；电压波动较大
EV000177,9,81.2,良好,85.09,100.0,100.0,32.09,28.06,33.64,8.489,0.8509,电压波动较大
EV000178,14,86.98,良好,100.0,100.0,100.0,34.88,28.63,35.9,8.1401,1.0074,电压波动较大
EV000179,14,62.59,关注,48.89,64.49,100.0,46.8,28.93,34.0,6.6501,0.4889,容量保持率偏低；电压波动较大；估算续航偏低
EV000180,12,82.68,良好,82.88,100.0,100.0,43.36,28.91,33.76,7.0799,0.8288,电压波动较大
EV000181,8,72.34,关注,84.39,100.0,16.61,72.39,45.88,51.63,3.4515,0.8439,存在高温记录；电压波动较大
EV000182,11,62.08,关注,82.11,100.0,17.76,23.93,45.42,51.86,9.5083,0.8211,存在高温记录；电压波动较大
EV000183,11,72.59,关注,71.42,95.51,100.0,18.59,29.69,34.73,10.1758,0.7142,容量保持率偏低；电压波动较大
EV000184,15,90.55,健康,98.84,100.0,100.0,54.8,28.48,34.93,5.6497,0.9884,电压波动较大
EV000185,9,86.49,良好,83.3,100.0,100.0,61.69,29.09,35.38,4.7887,0.833,电压波动较大
EV000186,2,72.73,关注,80.52,100.0,32.47,65.26,45.75,46.52,4.3425,0.8052,存在高温记录；电压波动较大
EV000187,10,67.58,关注,56.07,75.16,100.0,45.84,29.08,35.26,6.7698,0.5607,容量保持率偏低；电压波动较大
EV000188,13,81.09,良好,84.54,100.0,100.0,32.52,28.56,33.7,8.4345,0.8454,电压波动较大
EV000189,11,70.94,关注,99.76,100.0,20.13,34.97,46.14,50.1,8.1289,0.9976,存在高温记录；电压波动较大
EV000190,15,74.24,关注,72.0,97.51,100.0,23.33,28.37,32.94,9.5832,0.72,容量保持率偏低；电压波动较大
EV000191,11,72.18,关注,63.16,84.54,100.0,44.67,29.22,38.31,6.9167,0.6316,容量保持率偏低；电压波动较大
EV000192,9,64.24,关注,55.53,73.68,100.0,31.9,29.5,31.77,8.5122,0.5553,容量保持率偏低；电压波动较大；估算续航偏低
EV000193,12,62.51,关注,55.87,73.67,100.0,22.67,28.6,35.54,9.6659,0.5587,容量保持率偏低；电压波动较大；估算续航偏低
EV000194,13,71.01,关注,62.82,82.07,98.7,43.8,30.33,35.44,7.0253,0.6282,容量保持率偏低；电压波动较大
EV000195,9,53.39,高风险,71.46,94.88,9.69,13.59,46.8,52.7,10.8015,0.7146,容量保持率偏低；存在高温记录；电压波动较大
EV000196,16,80.6,良好,77.49,100.0,100.0,42.39,29.74,33.24,7.2014,0.7749,电压波动较大
EV000197,11,71.44,关注,72.11,95.54,100.0,11.57,29.61,32.0,11.0534,0.7211,容量保持率偏低；电压波动较大
EV000198,14,86.51,良好,100.0,100.0,100.0,32.54,28.6,36.17,8.4326,1.0168,电压波动较大
EV000199,17,65.71,关注,63.02,84.18,100.0,13.05,29.17,33.44,10.8688,0.6302,容量保持率偏低；电压波动较大
EV000200,7,77.63,良好,83.3,100.0,100.0,17.37,28.6,30.01,10.329,0.833,电压波动较大
EV000201,12,78.85,良好,80.14,100.0,100.0,28.98,29.46,35.19,8.8772,0.8014,电压波动较大
EV000202,8,69.39,关注,100.0,100.0,17.25,29.72,46.11,51.1,8.7851,1.0158,存在高温记录；电压波动较大
EV000203,16,85.79,良好,99.37,100.0,100.0,30.07,29.97,33.09,8.7415,0.9937,电压波动较大
EV000204,16,75.23,良好,65.67,87.33,100.0,52.08,27.76,30.77,5.99,0.6567,容量保持率偏低；电压波动较大
EV000205,10,81.07,良好,80.6,100.0,100.0,39.32,29.54,31.78,7.5855,0.806,电压波动较大
EV000206,14,72.43,关注,64.78,85.32,100.0,42.14,28.65,31.98,7.2329,0.6478,容量保持率偏低；电压波动较大
EV000207,16,90.27,健康,100.0,100.0,100.0,51.36,28.87,34.21,6.0796,1.0054,电压波动较大
EV000208,17,88.57,良好,100.0,100.0,100.0,42.83,29.87,36.59,7.1465,1.0268,电压波动较大
EV000209,13,69.7,关注,63.3,84.8,100.0,31.71,28.71,32.41,8.5361,0.633,容量保持率偏低；电压波动较大
EV000210,15,83.56,良好,83.83,100.0,100.0,46.07,29.98,35.31,6.7407,0.8383,电压波动较大
EV000211,12,69.06,关注,60.82,81.81,100.0,36.62,28.85,33.1,7.9224,0.6082,容量保持率偏低；电压波动较大
EV000212,11,56.46,高风险,48.53,64.48,98.35,18.43,30.41,36.72,10.1963,0.4853,容量保持率偏低；电压波动较大；估算续航偏低
EV000213,16,85.08,良好,100.0,100.0,100.0,25.4,28.73,32.09,9.3244,1.0109,电压波动较大
EV000214,15,81.51,良好,84.05,100.0,100.0,35.44,28.39,33.14,8.0696,0.8405,电压波动较大
EV000215,14,86.89,良好,100.0,100.0,100.0,34.43,27.86,33.17,8.196,1.0052,电压波动较大
EV000216,10,80.81,良好,84.36,100.0,100.0,31.4,28.31,33.26,8.5749,0.8436,电压波动较大
EV000217,11,79.21,良好,79.67,100.0,100.0,31.61,27.22,30.52,8.5492,0.7967,电压波动较大
EV000218,7,77.05,良好,63.4,84.66,99.21,69.26,30.2,34.32,3.8419,0.634,容量保持率偏低；电压波动较大
EV000219,10,77.11,良好,62.31,83.97,100.0,71.53,28.71,32.2,3.5588,0.6231,容量保持率偏低；电压波动较大
EV000220,8,75.74,良好,65.02,87.09,100.0,56.07,28.44,34.91,5.4915,0.6502,容量保持率偏低；电压波动较大
EV000221,13,79.98,良好,72.98,97.55,100.0,50.26,27.87,31.18,6.2173,0.7298,容量保持率偏低；电压波动较大
EV000222,12,62.15,关注,54.65,73.27,96.78,26.76,30.8,35.66,9.1551,0.5465,容量保持率偏低；电压波动较大；估算续航偏低
EV000223,6,68.68,关注,84.99,100.0,26.0,43.65,46.31,47.92,7.0441,0.8499,存在高温记录；电压波动较大
