vehicle_id,temperature_c,voltage_v,remaining_capacity_kwh,estimated_range_km
WA-257719346,41,360.6,15.8,26.7
WA-257719346,27,360.8,16.4,27.72
WA-257719346,32,361.0,17.0,28.73
WA-219734462,28,360.1,16.6,18.7
WA-219734462,33,360.3,17.2,19.38
WA-219734462,38,360.5,17.8,20.05
WA-219734462,43,360.7,18.4,20.73
WA-194152171,39,361.4,18.0,36.21
WA-194152171,25,360.0,18.6,37.41
WA-194152171,30,360.2,15.2,30.57
WA-194152171,35,360.4,15.8,31.78
WA-264273663,31,361.1,48.44,266.43
WA-264273663,36,361.3,50.33,276.81
WA-264273663,41,361.5,52.22,287.19
WA-264273663,27,360.1,54.1,297.57
WA-204708647,42,360.8,16.8,47.32
WA-204708647,28,361.0,17.4,49.01
WA-204708647,33,361.2,18.0,50.7
WA-204708647,38,361.4,18.6,52.39
WA-244932159,34,360.5,18.2,43.93
WA-244932159,39,360.7,18.8,45.38
WA-244932159,25,360.9,15.4,37.18
WA-244932159,30,361.1,16.0,38.62
WA-474468501,26,360.2,19.86,109.21
WA-474468501,31,360.4,20.62,113.41
WA-474468501,36,360.6,21.39,117.61
WA-474468501,41,360.8,22.15,121.81
WA-474502500,37,361.5,53.47,294.11
WA-474502500,42,360.1,55.36,304.49
WA-474502500,28,360.3,57.25,314.87
WA-474502500,33,360.5,59.14,325.25
WA-187859941,29,361.2,56.53,310.92
WA-187859941,34,361.4,58.38,321.06
WA-187859941,39,360.0,47.93,263.61
WA-187859941,25,360.2,49.77,273.75
WA-475437938,40,360.9,55.02,302.59
WA-475437938,26,361.1,57.1,314.08
WA-475437938,31,361.3,59.19,325.57
WA-475437938,36,361.5,61.28,337.06
WA-118167990,32,360.6,52.34,287.88
WA-118167990,37,360.8,54.17,297.92
WA-118167990,42,361.0,55.99,307.96
WA-118167990,28,361.2,57.82,318.0
WA-269489167,43,360.3,58.51,321.79
WA-269489167,29,360.5,47.81,262.97
WA-269489167,34,360.7,49.7,273.35
WA-269489167,39,360.9,51.59,283.73
WA-126152974,35,360.0,75.38,414.57
WA-126152974,40,360.2,78.2,430.11
WA-126152974,26,360.4,81.03,445.66
WA-126152974,31,360.6,83.86,461.21
WA-270047242,27,361.3,17.4,36.4
WA-270047242,32,361.5,18.0,37.66
WA-270047242,37,360.1,18.6,38.91
WA-270047242,42,360.3,15.2,31.8
WA-275694401,38,361.0,18.8,39.33
WA-275694401,43,361.2,15.4,32.22
WA-275694401,29,361.4,16.0,33.47
WA-275694401,34,360.0,16.6,34.73
WA-194200681,30,360.7,16.2,33.89
WA-194200681,35,360.9,16.8,35.15
WA-194200681,40,361.1,17.4,36.4
WA-194200681,26,361.3,18.0,37.66
WA-248653954,41,360.4,55.36,304.49
WA-248653954,27,360.6,57.25,314.87
WA-248653954,32,360.8,59.14,325.25
WA-248653954,37,361.0,48.44,266.43
WA-301647265,33,360.1,75.05,412.79
WA-301647265,38,360.3,61.62,338.93
WA-301647265,43,360.5,63.99,351.96
WA-301647265,29,360.7,66.36,365.0
WA-5470846,25,361.4,47.99,263.93
WA-5470846,30,360.0,49.74,273.59
WA-5470846,35,360.2,51.5,283.25
WA-5470846,40,360.4,53.25,292.9
WA-142025740,36,361.1,75.26,413.94
WA-142025740,41,361.3,77.8,427.89
WA-142025740,27,361.5,80.33,441.85
WA-142025740,32,360.1,65.96,362.78
WA-478549984,28,360.8,15.2,22.02
WA-478549984,33,361.0,15.8,22.89
WA-478549984,38,361.2,16.4,23.76
WA-478549984,43,361.4,17.0,24.62
WA-124633715,39,360.5,70.67,388.71
WA-124633715,25,360.7,73.23,402.76
WA-124633715,30,360.9,75.78,416.8
WA-124633715,35,361.1,78.34,430.85
WA-478609771,31,360.2,57.93,318.65
WA-478609771,36,360.4,59.86,329.27
WA-478609771,41,360.6,48.92,269.08
WA-478609771,27,360.8,50.85,279.7
WA-111162012,42,361.5,46.86,257.75
WA-111162012,28,360.1,48.69,267.79
WA-111162012,33,360.3,50.51,277.83
WA-111162012,38,360.5,52.34,287.88
WA-164145264,34,361.2,17.94,98.68
WA-164145264,39,361.4,18.58,102.21
WA-164145264,25,360.0,19.22,105.73
WA-164145264,30,360.2,19.86,109.26
WA-109867208,26,360.9,57.25,314.87
WA-109867208,31,361.1,59.14,325.25
WA-109867208,36,361.3,48.44,266.43
WA-109867208,41,361.5,50.33,276.81
WA-269483644,37,360.6,15.6,46.45
WA-269483644,42,360.8,16.2,48.24
WA-269483644,28,361.0,16.8,50.02
WA-269483644,33,361.2,17.4,51.81
WA-122291851,29,360.3,37.06,203.82
WA-122291851,34,360.5,38.37,211.02
WA-122291851,39,360.7,39.68,218.21
WA-122291851,25,360.9,40.98,225.4
WA-247511316,40,360.0,22.61,124.37
WA-247511316,26,360.2,23.35,128.42
WA-247511316,31,360.4,19.17,105.44
WA-247511316,36,360.6,19.91,109.5
WA-349687754,32,361.3,49.7,273.35
WA-349687754,37,361.5,51.59,283.73
WA-349687754,42,360.1,53.47,294.11
WA-349687754,28,360.3,55.36,304.49
WA-321718624,43,361.0,55.36,304.48
WA-321718624,29,361.2,57.29,315.1
WA-321718624,34,361.4,59.22,325.73
WA-321718624,39,360.0,61.15,336.35
WA-172153082,35,360.7,79.73,438.53
WA-172153082,40,360.9,65.15,358.37
WA-172153082,26,361.1,67.73,372.52
WA-172153082,31,361.3,70.3,386.66
WA-272262812,27,360.4,55.71,306.42
WA-272262812,32,360.6,57.8,317.91
WA-272262812,37,360.8,59.89,329.4
WA-272262812,42,361.0,61.98,340.89
WA-183220649,38,360.1,20.62,113.41
WA-183220649,43,360.3,21.33,117.32
WA-183220649,29,360.5,22.04,121.23
WA-183220649,34,360.7,18.01,99.07
WA-256957333,30,361.4,18.8,31.77
WA-256957333,35,360.0,15.4,26.03
WA-256957333,40,360.2,16.0,27.04
WA-256957333,26,360.4,16.6,28.05
WA-275506031,41,361.1,16.2,50.84
WA-275506031,27,361.3,16.8,52.72
WA-275506031,32,361.5,17.4,54.6
WA-275506031,37,360.1,18.0,56.48
WA-275146042,33,360.8,17.6,46.74
WA-275146042,38,361.0,18.2,48.33
WA-275146042,43,361.2,18.8,49.92
WA-275146042,29,361.4,15.4,40.89
WA-258988187,25,360.5,66.43,365.4
WA-258988187,30,360.7,54.55,300.01
WA-258988187,35,360.9,56.64,311.55
WA-258988187,40,361.1,58.74,323.09
WA-305712949,36,360.2,35.99,197.95
WA-305712949,41,360.4,37.31,205.19
WA-305712949,27,360.6,38.62,212.43
WA-305712949,32,360.8,39.94,219.67
WA-144229830,28,361.5,57.29,315.1
WA-144229830,33,360.1,59.22,325.73
WA-144229830,38,360.3,61.15,336.35
WA-144229830,43,360.5,50.21,276.16
WA-134528019,39,361.2,18.68,102.74
WA-134528019,25,361.4,19.42,106.79
WA-134528019,30,360.0,20.16,110.85
WA-134528019,35,360.2,20.89,114.9
WA-258148719,31,360.9,74.8,411.41
WA-258148719,36,361.1,77.5,426.28
WA-258148719,41,361.3,80.21,441.16
WA-258148719,27,361.5,82.91,456.03
WA-111690687,42,360.6,19.22,105.73
WA-111690687,28,360.8,19.86,109.26
WA-111690687,33,361.0,16.23,89.28
WA-111690687,38,361.2,16.87,92.81
WA-261320776,34,360.3,48.44,266.43
WA-261320776,39,360.5,50.33,276.81
WA-261320776,25,360.7,52.22,287.19
WA-261320776,30,360.9,54.1,297.57
WA-476060392,26,360.0,16.8,44.61
WA-476060392,31,360.2,17.4,46.21
WA-476060392,36,360.4,18.0,47.8
WA-476060392,41,360.6,18.6,49.39
WA-330872573,37,361.3,39.94,219.67
WA-330872573,42,361.5,41.26,226.92
WA-330872573,28,360.1,33.8,185.88
WA-330872573,33,360.3,35.11,193.12
WA-172479968,29,361.0,54.32,298.76
WA-172479968,34,361.2,56.41,310.25
WA-172479968,39,361.4,58.5,321.74
WA-172479968,25,360.0,60.59,333.23
WA-246351927,40,360.7,18.66,102.59
WA-246351927,26,360.9,19.32,106.22
WA-246351927,31,361.1,19.97,109.84
WA-246351927,36,361.3,20.63,113.46
WA-181532130,32,360.4,19.65,108.08
WA-181532130,37,360.6,20.29,111.61
WA-181532130,42,360.8,16.66,91.63
WA-181532130,28,361.0,17.3,95.16
WA-3273763,43,360.1,57.56,316.58
WA-3273763,29,360.3,59.75,328.6
WA-3273763,34,360.5,61.93,340.62
WA-3273763,39,360.7,64.12,352.64
WA-8874211,35,361.4,17.2,40.14
WA-8874211,40,360.0,17.8,41.54
WA-8874211,26,360.2,18.4,42.94
WA-8874211,31,360.4,19.0,44.34
WA-225816587,27,361.1,73.47,404.1
WA-225816587,32,361.3,60.04,330.24
WA-225816587,37,361.5,62.41,343.27
WA-225816587,42,360.1,64.78,356.31
WA-135000148,38,360.8,21.77,119.74
WA-135000148,43,361.0,22.58,124.23
WA-135000148,29,361.2,23.4,128.72
WA-135000148,34,361.4,24.22,133.21
WA-177568856,30,360.5,56.0,308.02
WA-177568856,35,360.7,57.93,318.65
WA-177568856,40,360.9,59.86,329.27
WA-177568856,26,361.1,48.92,269.08
WA-112744838,41,360.2,88.57,487.12
WA-112744838,27,360.4,72.55,399.02
WA-112744838,32,360.6,75.38,414.57
WA-112744838,37,360.8,78.2,430.11
WA-256013026,33,361.5,16.2,28.68
WA-256013026,38,360.1,16.8,29.74
WA-256013026,43,360.3,17.4,30.81
WA-256013026,29,360.5,18.0,31.87
WA-226329071,25,361.2,54.08,297.4
WA-226329071,30,361.4,55.92,307.54
WA-226329071,35,360.0,57.76,317.68
WA-226329071,40,360.2,47.32,260.23
WA-478472879,36,360.9,61.15,336.35
WA-478472879,41,361.1,50.21,276.16
WA-478472879,27,361.3,52.14,286.78
WA-478472879,32,361.5,54.07,297.4
WA-127281031,28,360.6,63.82,351.03
WA-127281031,33,360.8,66.16,363.87
WA-127281031,38,361.0,68.49,376.71
WA-127281031,43,361.2,70.83,389.55
WA-273089988,39,360.3,17.8,32.94
WA-273089988,25,360.5,18.4,34.05
WA-273089988,30,360.7,19.0,35.16
WA-273089988,35,360.9,15.6,28.87
WA-240681703,31,360.0,15.2,25.69
WA-240681703,36,360.2,15.8,26.7
WA-240681703,41,360.4,16.4,27.72
WA-240681703,27,360.6,17.0,28.73
WA-127473230,42,361.3,70.67,388.71
WA-127473230,28,361.5,73.23,402.76
WA-127473230,33,360.1,75.78,416.8
WA-127473230,38,360.3,78.34,430.85
WA-150308147,34,361.0,18.0,76.77
WA-150308147,39,361.2,18.6,79.33
WA-150308147,25,361.4,15.2,64.83
WA-150308147,30,360.0,15.8,67.39
WA-104691751,26,360.7,65.57,360.61
WA-104691751,31,360.9,68.12,374.66
WA-104691751,36,361.1,70.67,388.71
WA-104691751,41,361.3,73.23,402.76
WA-202938606,37,360.4,16.8,47.32
WA-202938606,42,360.6,17.4,49.01
WA-202938606,28,360.8,18.0,50.7
WA-202938606,33,361.0,18.6,52.39
WA-207302462,29,360.1,18.2,46.87
WA-207302462,34,360.3,18.8,48.41
WA-207302462,39,360.5,15.4,39.66
WA-207302462,25,360.7,16.0,41.2
WA-350269272,40,361.4,54.32,298.76
WA-350269272,26,360.0,56.41,310.25
WA-350269272,31,360.2,58.5,321.74
WA-350269272,36,360.4,60.59,333.23
WA-207343356,32,361.1,18.66,102.59
WA-207343356,37,361.3,19.32,106.22
WA-207343356,42,361.5,19.97,109.84
WA-207343356,28,360.1,20.63,113.46
WA-265423210,43,360.8,18.4,37.01
WA-265423210,29,361.0,19.0,38.22
WA-265423210,34,361.2,15.6,31.38
WA-265423210,39,361.4,16.2,32.59
WA-244922849,35,360.5,15.8,26.7
WA-244922849,40,360.7,16.4,27.72
WA-244922849,26,360.9,17.0,28.73
WA-244922849,31,361.1,17.6,29.74
WA-129845040,27,360.2,50.33,276.81
WA-129845040,32,360.4,52.08,286.46
WA-129845040,37,360.6,53.84,296.12
WA-129845040,42,360.8,55.59,305.78
WA-235282379,38,361.5,64.77,356.21
WA-235282379,43,360.1,52.93,291.1
WA-235282379,29,360.3,55.02,302.59
WA-235282379,34,360.5,57.1,314.08
WA-260771871,30,361.2,16.0,54.07
WA-260771871,35,361.4,16.6,56.1
WA-260771871,40,360.0,17.2,58.13
WA-260771871,26,360.2,17.8,60.16
WA-196148396,41,360.9,17.4,44.8
WA-196148396,27,361.1,18.0,46.35
WA-196148396,32,361.3,18.6,47.9
WA-196148396,37,361.5,15.2,39.14
WA-9074544,33,360.6,41.26,226.92
WA-9074544,38,360.8,33.8,185.88
WA-9074544,43,361.0,35.11,193.12
WA-9074544,29,361.2,36.43,200.36
WA-263303099,25,360.3,50.96,280.27
WA-263303099,30,360.5,52.84,290.65
WA-263303099,35,360.7,54.73,301.03
WA-263303099,40,360.9,56.62,311.41
WA-4795598,36,360.0,82.91,456.02
WA-4795598,41,360.2,85.74,471.57
WA-4795598,27,360.4,88.57,487.12
WA-4795598,32,360.6,72.55,399.02
WA-111996916,28,361.3,23.35,128.42
WA-111996916,33,361.5,19.17,105.44
WA-111996916,38,360.1,19.91,109.5
WA-111996916,43,360.3,20.65,113.55
WA-275389719,39,361.0,52.78,290.32
WA-275389719,25,361.2,54.71,300.94
WA-275389719,30,361.4,56.65,311.56
WA-275389719,35,360.0,58.58,322.19
WA-224616801,31,360.7,17.8,42.97
WA-224616801,36,360.9,18.4,44.42
WA-224616801,41,361.1,19.0,45.87
WA-224616801,27,361.3,15.6,37.66
WA-214448048,42,360.4,16.01,88.06
WA-214448048,28,360.6,16.65,91.54
WA-214448048,33,360.8,17.28,95.01
WA-214448048,38,361.0,17.91,98.49
WA-103095842,34,360.1,70.67,388.71
WA-103095842,39,360.3,73.23,402.76
WA-103095842,25,360.5,75.78,416.8
WA-103095842,30,360.7,78.34,430.85
WA-122670621,26,361.4,52.67,289.68
WA-122670621,31,360.0,54.42,299.34
WA-122670621,36,360.2,44.48,244.62
WA-122670621,41,360.4,46.23,254.28
WA-219604451,37,361.1,15.4,32.22
WA-219604451,42,361.3,16.0,33.47
WA-219604451,28,361.5,16.6,34.73
WA-219604451,33,360.1,17.2,35.98
WA-315650730,29,360.8,52.84,290.65
WA-315650730,34,361.0,54.73,301.03
WA-315650730,39,361.2,56.62,311.41
WA-315650730,25,361.4,58.51,321.79
WA-230206245,40,360.5,18.2,43.93
WA-230206245,26,360.7,18.8,45.38
WA-230206245,31,360.9,15.4,37.18
WA-230206245,36,361.1,16.0,38.62
WA-269158305,32,360.2,15.6,26.36
WA-269158305,37,360.4,16.2,27.38
WA-269158305,42,360.6,16.8,28.39
WA-269158305,28,360.8,17.4,29.41
WA-230264730,43,361.5,65.91,362.51
WA-230264730,29,360.1,68.24,375.3
WA-230264730,34,360.3,70.56,388.1
WA-230264730,39,360.5,72.89,400.89
WA-261532414,35,361.2,18.4,38.49
WA-261532414,40,361.4,19.0,39.75
WA-261532414,26,360.0,15.6,32.64
WA-261532414,31,360.2,16.2,33.89
WA-106482806,27,360.9,15.8,44.5
WA-106482806,32,361.1,16.4,46.19
WA-106482806,37,361.3,17.0,47.88
WA-106482806,42,361.5,17.6,49.57
WA-249879934,38,360.6,52.85,290.65
WA-249879934,43,360.8,54.69,300.78
WA-249879934,29,361.0,56.53,310.92
WA-249879934,34,361.2,58.38,321.06
WA-478012545,30,360.3,59.86,329.27
WA-478012545,35,360.5,48.92,269.08
WA-478012545,40,360.7,50.85,279.7
WA-478012545,26,360.9,52.78,290.32
WA-103401581,41,360.0,62.26,342.46
WA-103401581,27,360.2,64.6,355.31
WA-103401581,32,360.4,66.93,368.15
WA-103401581,37,360.6,69.27,380.99
WA-148905543,33,361.3,23.67,130.21
WA-148905543,38,361.5,24.49,134.7
WA-148905543,43,360.1,25.31,139.19
WA-148905543,29,360.3,20.68,113.75
WA-313694727,25,361.0,59.14,325.25
WA-313694727,30,361.2,48.44,266.43
WA-313694727,35,361.4,50.33,276.81
WA-313694727,40,360.0,52.22,287.19
WA-347543220,36,360.7,56.41,310.25
WA-347543220,41,360.9,58.5,321.74
WA-347543220,27,361.1,60.59,333.23
WA-347543220,32,361.3,62.68,344.72
WA-246535698,28,360.4,23.94,131.71
WA-246535698,33,360.6,24.76,136.2
WA-246535698,38,360.8,25.58,140.69
WA-246535698,43,361.0,20.95,115.25
WA-179712795,39,360.1,19.0,15.29
WA-179712795,25,360.3,15.6,12.55
WA-179712795,30,360.5,16.2,13.03
WA-179712795,35,360.7,16.8,13.52
WA-225623513,31,361.4,18.0,98.97
WA-225623513,36,360.0,18.66,102.59
WA-225623513,41,360.2,19.32,106.22
WA-225623513,27,360.4,19.97,109.84
WA-8158447,42,361.1,17.8,20.05
WA-8158447,28,361.3,18.4,20.73
WA-8158447,33,361.5,19.0,21.4
WA-8158447,38,360.1,15.6,17.57
WA-272657227,34,360.8,48.92,269.08
WA-272657227,39,361.0,50.85,279.7
WA-272657227,25,361.2,52.78,290.32
WA-272657227,30,361.4,54.71,300.94
WA-177873230,26,360.5,52.22,287.19
WA-177873230,31,360.7,54.1,297.57
WA-177873230,36,360.9,55.99,307.95
WA-177873230,41,361.1,57.88,318.33
WA-261602127,37,360.2,18.0,46.35
WA-261602127,42,360.4,18.6,47.9
WA-261602127,28,360.6,15.2,39.14
WA-261602127,33,360.8,15.8,40.69
WA-102045065,29,361.5,15.4,19.83
WA-102045065,34,360.1,16.0,20.6
WA-102045065,39,360.3,16.6,21.37
WA-102045065,25,360.5,17.2,22.14
WA-474819026,40,361.2,52.84,290.65
WA-474819026,26,361.4,54.73,301.03
WA-474819026,31,360.0,56.62,311.41
WA-474819026,36,360.2,58.51,321.79
WA-141273737,32,360.9,63.37,348.55
WA-141273737,37,361.1,65.46,360.04
WA-141273737,42,361.3,53.62,294.93
WA-141273737,28,361.5,55.71,306.42
WA-275755000,43,360.6,15.6,52.72
WA-275755000,29,360.8,16.2,54.75
WA-275755000,34,361.0,16.8,56.78
WA-275755000,39,361.2,17.4,58.8
WA-342987641,35,360.3,53.47,294.11
WA-342987641,40,360.5,55.36,304.49
WA-342987641,26,360.7,57.25,314.87
WA-342987641,31,360.9,59.14,325.25
WA-271680699,27,360.0,18.4,38.49
WA-271680699,32,360.2,19.0,39.75
WA-271680699,37,360.4,15.6,32.64
WA-271680699,42,360.6,16.2,33.89
WA-260554178,38,361.3,67.27,369.97
WA-260554178,43,361.5,69.82,384.02
WA-260554178,29,360.1,72.38,398.07
WA-260554178,34,360.3,74.93,412.12
WA-267085227,30,361.0,73.23,402.76
WA-267085227,35,361.2,75.78,416.8
WA-267085227,40,361.4,78.34,430.85
WA-267085227,26,360.0,80.89,444.9
WA-4874894,41,360.7,22.86,125.72
WA-4874894,27,360.9,18.68,102.74
WA-4874894,32,361.1,19.42,106.79
WA-4874894,37,361.3,20.16,110.85
WA-127484339,33,360.4,62.26,342.46
WA-127484339,38,360.6,64.6,355.31
WA-127484339,43,360.8,66.93,368.15
WA-127484339,29,361.0,69.27,380.99
WA-102434741,25,360.1,81.97,450.84
WA-102434741,30,360.3,84.8,466.39
WA-102434741,35,360.5,87.62,481.94
WA-102434741,40,360.7,71.61,393.84
WA-249659105,36,361.4,55.01,302.56
WA-249659105,41,360.0,45.06,247.84
WA-249659105,27,360.2,46.82,257.5
WA-249659105,32,360.4,48.57,267.15
WA-256140832,28,361.1,16.2,33.89
WA-256140832,33,361.3,16.8,35.15
WA-256140832,38,361.5,17.4,36.4
WA-256140832,43,360.1,18.0,37.66
WA-204695333,39,360.8,32.45,178.45
WA-204695333,25,361.0,33.55,184.53
WA-204695333,30,361.2,34.66,190.61
WA-204695333,35,361.4,28.39,156.14
WA-214384901,31,360.5,20.85,114.66
WA-214384901,36,360.7,17.12,94.15
WA-214384901,41,360.9,17.78,97.77
WA-214384901,27,361.1,18.44,101.39
WA-316745467,42,360.2,16.4,34.31
WA-316745467,28,360.4,17.0,35.56
WA-316745467,33,360.6,17.6,36.82
WA-316745467,38,360.8,18.2,38.07
WA-173904258,34,361.5,54.69,300.78
WA-173904258,39,360.1,56.53,310.92
WA-173904258,25,360.3,58.38,321.06
WA-173904258,30,360.5,47.93,263.61
WA-180884343,26,361.2,15.2,57.49
WA-180884343,31,361.4,15.8,59.76
WA-180884343,36,360.0,16.4,62.02
WA-180884343,41,360.2,17.0,64.29
WA-193704164,37,360.9,16.6,56.1
WA-193704164,42,361.1,17.2,58.13
WA-193704164,28,361.3,17.8,60.16
WA-193704164,33,361.5,18.4,62.18
WA-240744927,29,360.6,57.93,318.65
WA-240744927,34,360.8,59.86,329.27
WA-240744927,39,361.0,48.92,269.08
WA-240744927,25,361.2,50.85,279.7
WA-135135983,40,360.3,15.4,23.55
WA-135135983,26,360.5,16.0,24.46
WA-135135983,31,360.7,16.6,25.38
WA-135135983,36,360.9,17.2,26.3
WA-256177120,32,360.0,16.8,29.74
WA-256177120,37,360.2,17.4,30.81
WA-256177120,42,360.4,18.0,31.87
WA-256177120,28,360.6,18.6,32.93
WA-223330852,43,361.3,55.38,304.61
WA-223330852,29,361.5,57.21,314.66
WA-223330852,34,360.1,46.86,257.75
WA-223330852,39,360.3,48.69,267.79
WA-110064552,35,361.0,49.07,269.89
WA-110064552,40,361.2,50.96,280.27
WA-110064552,26,361.4,52.84,290.65
WA-110064552,31,360.0,54.73,301.03
WA-258349892,27,360.7,17.0,57.45
WA-258349892,32,360.9,17.6,59.48
WA-258349892,37,361.1,18.2,61.51
WA-258349892,42,361.3,18.8,63.53
WA-348887024,38,360.4,18.4,8.89
WA-348887024,43,360.6,19.0,9.18
WA-348887024,29,360.8,15.6,7.53
WA-348887024,34,361.0,16.2,7.82
WA-186727866,30,360.1,49.7,273.35
WA-186727866,35,360.3,51.59,283.73
WA-186727866,40,360.5,53.47,294.11
WA-186727866,26,360.7,55.36,304.49
WA-263223852,41,361.4,17.2,29.07
WA-263223852,27,360.0,17.8,30.08
WA-263223852,32,360.2,18.4,31.1
WA-263223852,37,360.4,19.0,32.11
WA-202194478,33,361.1,18.6,34.42
WA-202194478,38,361.3,15.2,28.13
WA-202194478,43,361.5,15.8,29.24
WA-202194478,29,360.1,16.4,30.35
WA-109161790,25,360.8,48.69,267.79
WA-109161790,30,361.0,50.51,277.83
WA-109161790,35,361.2,52.34,287.88
WA-109161790,40,361.4,54.17,297.92
WA-149256796,36,360.5,65.94,362.63
WA-149256796,41,360.7,68.21,375.14
WA-149256796,27,360.9,70.48,387.64
WA-149256796,32,361.1,57.6,316.78
WA-153331706,28,360.2,20.08,110.43
WA-153331706,33,360.4,16.45,90.46
WA-153331706,38,360.6,17.09,93.98
WA-153331706,43,360.8,17.73,97.51
WA-108794451,39,361.5,16.2,32.59
WA-108794451,25,360.1,16.8,33.79
WA-108794451,30,360.3,17.4,35.0
WA-108794451,35,360.5,18.0,36.21
WA-127383784,31,361.2,27.55,151.54
WA-127383784,36,361.4,28.49,156.7
WA-127383784,41,360.0,29.43,161.87
WA-127383784,27,360.2,24.11,132.59
WA-109805566,42,360.9,80.89,444.9
WA-109805566,28,361.1,66.42,365.29
WA-109805566,33,361.3,68.97,379.34
WA-109805566,38,361.5,71.53,393.39
WA-473622845,34,360.6,51.59,283.73
WA-473622845,39,360.8,53.47,294.11
WA-473622845,25,361.0,55.36,304.49
WA-473622845,30,361.2,57.25,314.87
WA-242633380,26,360.3,19.01,104.56
WA-242633380,31,360.5,19.65,108.08
WA-242633380,36,360.7,20.29,111.61
WA-242633380,41,360.9,16.66,91.63
WA-159514330,37,360.0,46.25,254.4
WA-159514330,42,360.2,48.08,264.44
WA-159514330,28,360.4,49.91,274.49
WA-159514330,33,360.6,51.73,284.53
WA-267680542,29,361.3,16.6,49.43
WA-267680542,34,361.5,17.2,51.21
WA-267680542,39,360.1,17.8,53.0
WA-267680542,25,360.3,18.4,54.79
WA-263423940,40,361.0,19.75,108.63
WA-263423940,26,361.2,20.41,112.25
WA-263423940,31,361.4,16.68,91.73
WA-263423940,36,360.0,17.34,95.35
WA-261607769,32,360.7,15.4,23.55
WA-261607769,37,360.9,16.0,24.46
WA-261607769,42,361.1,16.6,25.38
WA-261607769,28,361.3,17.2,26.3
WA-478751857,43,360.4,58.5,321.74
WA-478751857,29,360.6,60.59,333.23
WA-478751857,34,360.8,62.68,344.72
WA-478751857,39,361.0,64.77,356.21
WA-275122970,35,360.1,18.2,46.87
WA-275122970,40,360.3,18.8,48.41
