vehicle_id,brand,model,battery_type,battery_capacity_kwh,production_date,risk_type,total_mileage_km
EV000051,GreenDrive,V1,LFP,70,2022-04-11,hot,33776.3
EV000052,E-Motion,V2,LFP,70,2022-04-13,healthy,15900.8
EV000053,Voltix,G1,LFP,50,2022-04-15,healthy,33538.7
EV000054,GreenDrive,E3,NMC,50,2022-04-17,mileage,43247.0
EV000055,Voltix,G1,LFP,60,2022-04-19,mileage,24610.0
EV000056,GreenDrive,V2,LFP,60,2022-04-21,hot,44778.1
EV000057,Voltix,V1,NMC,70,2022-04-23,mileage,53518.8
EV000058,Voltix,E3,NMC,50,2022-04-25,healthy,36682.9
EV000059,E-Motion,V1,NMC,50,2022-04-27,healthy,55617.7
EV000060,GreenDrive,G1,NMC,70,2022-04-29,degraded,35417.8
EV000061,Aurora,V2,LFP,50,2022-05-01,mileage,29113.1
EV000062,E-Motion,V2,LFP,80,2022-05-03,healthy,65935.7
EV000063,Voltix,G1,NMC,50,2022-05-05,mileage,48855.9
EV000064,GreenDrive,E3,NMC,70,2022-05-07,healthy,39540.1
EV000065,GreenDrive,V1,NMC,60,2022-05-09,charging,5352.6
EV000066,Aurora,G1,LFP,80,2022-05-11,fault,12851.9
EV000067,E-Motion,G1,LFP,80,2022-05-13,healthy,7703.4
EV000068,GreenDrive,V2,NMC,60,2022-05-15,healthy,36818.2
EV000069,Aurora,G1,NMC,70,2022-05-17,degraded,37039.5
EV000070,GreenDrive,A2,NMC,80,2022-05-19,healthy,44987.2
EV000071,Aurora,V1,NMC,60,2022-05-21,mileage,56109.1
EV000072,Aurora,E3,NMC,60,2022-05-23,healthy,10216.5
EV000073,Voltix,A2,NMC,60,2022-05-25,degraded,13441.1
EV000074,E-Motion,E3,LFP,70,2022-05-27,fault,21143.3
EV000075,GreenDrive,G1,NMC,80,2022-05-29,charging,45741.5
EV000076,Aurora,G1,LFP,60,2022-05-31,hot,42739.9
EV000077,Aurora,A1,LFP,60,2022-06-02,healthy,18929.1
EV000078,E-Motion,A1,NMC,70,2022-06-04,fault,24956.5
EV000079,Voltix,V1,LFP,60,2022-06-06,healthy,44357.6
EV000080,E-Motion,V2,LFP,50,2022-06-08,healthy,38767.4
EV000081,Voltix,V2,LFP,50,2022-06-10,healthy,55750.1
EV000082,E-Motion,A1,NMC,60,2022-06-12,hot,22971.1
EV000083,Voltix,V2,LFP,70,2022-06-14,mileage,35065.9
EV000084,GreenDrive,V1,NMC,60,2022-06-16,healthy,19760.5
EV000085,Aurora,V1,LFP,70,2022-06-18,healthy,58144.1
EV000086,GreenDrive,V1,NMC,60,2022-06-20,hot,55910.4
EV000087,Voltix,V2,NMC,60,2022-06-22,mileage,46266.0
EV000088,Aurora,A2,NMC,50,2022-06-24,hot,55020.1
EV000089,GreenDrive,E3,LFP,60,2022-06-26,mileage,62278.7
EV000090,GreenDrive,G1,NMC,70,2022-06-28,charging,63693.2
EV000091,Aurora,V1,LFP,70,2022-06-30,charging,68080.2
EV000092,E-Motion,E3,LFP,70,2022-07-02,healthy,24872.5
EV000093,Aurora,A1,NMC,60,2022-07-04,fault,23460.6
EV000094,Aurora,V1,NMC,50,2022-07-06,degraded,60829.5
EV000095,Voltix,V2,NMC,80,2022-07-08,hot,30225.1
EV000096,Voltix,E3,LFP,80,2022-07-10,hot,6195.6
EV000097,GreenDrive,A2,NMC,80,2022-07-12,mileage,29721.2
EV000098,E-Motion,A2,NMC,70,2022-07-14,charging,56180.9
EV000099,Voltix,G1,LFP,80,2022-07-16,healthy,29557.4
EV000100,GreenDrive,A2,NMC,80,2022-07-18,mileage,51607.0
EV000101,Aurora,A2,NMC,60,2022-07-20,degraded,43396.7
EV000102,GreenDrive,E3,LFP,80,2022-07-22,healthy,13814.2
EV000103,Aurora,A1,NMC,70,2022-07-24,hot,46041.3
EV000104,Aurora,E3,LFP,80,2022-07-26,healthy,38131.3
EV000105,Aurora,V1,LFP,80,2022-07-28,degraded,28107.0
EV000106,Voltix,E3,NMC,80,2022-07-30,healthy,12280.0
EV000107,GreenDrive,G1,LFP,80,2022-08-01,hot,66683.6
EV000108,GreenDrive,V1,NMC,80,2022-08-03,charging,21583.7
EV000109,Aurora,A2,LFP,70,2022-08-05,hot,1357.0
EV000110,E-Motion,A2,LFP,80,2022-08-07,healthy,52926.9
EV000111,GreenDrive,E3,NMC,80,2022-08-09,hot,29936.4
EV000112,GreenDrive,V1,LFP,80,2022-08-11,healthy,59238.2
EV000113,Voltix,E3,NMC,70,2022-08-13,hot,36069.8
EV000114,E-Motion,E3,NMC,60,2022-08-15,healthy,37681.4
EV000115,Voltix,G1,NMC,50,2022-08-17,healthy,48484.7
EV000116,Aurora,G1,NMC,50,2022-08-19,healthy,40044.6
EV000117,GreenDrive,G1,NMC,70,2022-08-21,healthy,39970.2
EV000118,E-Motion,G1,LFP,80,2022-08-23,mileage,57393.7
EV000119,Voltix,G1,LFP,70,2022-08-25,healthy,21718.8
EV000120,E-Motion,G1,LFP,60,2022-08-27,mileage,47944.6
EV000121,Aurora,V1,NMC,50,2022-08-29,hot,43124.3
EV000122,GreenDrive,A2,NMC,80,2022-08-31,charging,9137.6
EV000123,E-Motion,V2,LFP,50,2022-09-02,healthy,57894.0
EV000124,Voltix,G1,NMC,80,2022-09-04,healthy,51788.7
EV000125,E-Motion,A2,LFP,50,2022-09-06,healthy,65611.7
EV000126,Aurora,G1,NMC,70,2022-09-08,healthy,30154.1
EV000127,Voltix,A2,NMC,80,2022-09-10,hot,18243.8
EV000128,E-Motion,A2,NMC,60,2022-09-12,degraded,93169.3
EV000129,GreenDrive,V1,LFP,50,2022-09-14,mileage,19709.3
EV000130,Voltix,A1,NMC,70,2022-09-16,mileage,23739.4
EV000131,E-Motion,V1,NMC,80,2022-09-18,fault,47961.6
EV000132,Voltix,A1,NMC,80,2022-09-20,hot,30213.3
EV000133,Aurora,E3,NMC,60,2022-09-22,degraded,45405.1
EV000134,GreenDrive,E3,LFP,50,2022-09-24,charging,14161.0
EV000135,GreenDrive,V2,NMC,50,2022-09-26,healthy,7456.6
EV000136,E-Motion,E3,LFP,80,2022-09-28,hot,28148.9
EV000137,Aurora,A1,LFP,70,2022-09-30,hot,50113.6
EV000138,E-Motion,A2,LFP,70,2022-10-02,charging,37406.5
EV000139,Aurora,G1,NMC,80,2022-10-04,healthy,59494.3
EV000140,GreenDrive,G1,NMC,80,2022-10-06,hot,33275.5
EV000141,Aurora,A2,NMC,60,2022-10-08,hot,41384.4
EV000142,E-Motion,A2,LFP,60,2022-10-10,healthy,21675.1
EV000143,Voltix,A1,NMC,70,2022-10-12,healthy,11730.6
EV000144,GreenDrive,E3,NMC,80,2022-10-14,healthy,16181.2
EV000145,GreenDrive,V2,LFP,80,2022-10-16,fault,23708.2
EV000146,E-Motion,A2,LFP,50,2022-10-18,healthy,73311.1
EV000147,E-Motion,V2,NMC,80,2022-10-20,healthy,14873.1
EV000148,E-Motion,E3,NMC,70,2022-10-22,healthy,22145.5
EV000149,E-Motion,A2,NMC,80,2022-10-24,healthy,62629.2
EV000150,Voltix,A1,LFP,80,2022-10-26,healthy,26024.9
EV000151,E-Motion,A2,NMC,50,2022-10-28,charging,48579.1
EV000152,Aurora,V2,LFP,70,2022-10-30,healthy,1000.0
EV000153,Voltix,V2,NMC,50,2022-11-01,mileage,20522.9
EV000154,E-Motion,V1,LFP,50,2022-11-03,healthy,47187.8
EV000155,E-Motion,V2,LFP,60,2022-11-05,hot,7437.4
EV000156,Aurora,V2,LFP,80,2022-11-07,healthy,41197.2
EV000157,GreenDrive,G1,NMC,70,2022-11-09,degraded,38594.0
EV000158,Aurora,G1,LFP,70,2022-11-11,healthy,27852.3
EV000159,E-Motion,E3,LFP,50,2022-11-13,healthy,33023.5
EV000160,E-Motion,A2,LFP,60,2022-11-15,degraded,50632.4
EV000161,Voltix,V1,LFP,50,2022-11-17,mileage,37009.2
EV000162,E-Motion,G1,NMC,80,2022-11-19,healthy,55634.2
EV000163,E-Motion,A2,NMC,60,2022-11-21,healthy,51978.1
EV000164,Aurora,V1,LFP,80,2022-11-23,degraded,65604.2
EV000165,GreenDrive,G1,NMC,50,2022-11-25,healthy,30314.7
EV000166,Aurora,V1,NMC,80,2022-11-27,healthy,40972.1
EV000167,Aurora,E3,LFP,70,2022-11-29,fault,18955.3
EV000168,E-Motion,A2,LFP,70,2022-12-01,healthy,49055.5
EV000169,Aurora,V1,LFP,70,2022-12-03,healthy,25126.2
EV000170,Voltix,A1,LFP,50,2022-12-05,mileage,49001.4
EV000171,Aurora,G1,NMC,60,2022-12-07,healthy,32905.1
EV000172,E-Motion,A1,NMC,70,2022-12-09,healthy,34837.7
EV000173,GreenDrive,E3,NMC,80,2022-12-11,mileage,42037.0
EV000174,Aurora,G1,LFP,70,2022-12-13,fault,24564.4
EV000175,E-Motion,A1,NMC,70,2022-12-15,fault,25875.4
EV000176,GreenDrive,A1,LFP,70,2022-12-17,healthy,26695.4
EV000177,Aurora,G1,NMC,60,2022-12-19,charging,28150.4
EV000178,Voltix,V2,LFP,50,2022-12-21,healthy,49043.9
EV000179,Voltix,V2,LFP,80,2022-12-23,degraded,30860.5
EV000180,Voltix,V2,NMC,60,2022-12-25,healthy,27506.8
EV000181,Aurora,E3,LFP,60,2022-12-27,hot,52568.7
EV000182,Voltix,V2,NMC,60,2022-12-29,hot,50212.4
EV000183,GreenDrive,E3,LFP,70,2022-12-31,charging,34950.2
EV000184,E-Motion,V1,LFP,50,2023-01-02,fault,82041.1
EV000185,Voltix,A1,NMC,60,2023-01-04,healthy,18936.6
EV000186,GreenDrive,A1,LFP,60,2023-01-06,hot,66644.2
EV000187,Aurora,E3,LFP,70,2023-01-08,degraded,42390.2
EV000188,Aurora,A2,LFP,60,2023-01-10,healthy,55799.3
EV000189,GreenDrive,A1,NMC,50,2023-01-12,hot,32314.9
EV000190,Aurora,E3,LFP,70,2023-01-14,healthy,58711.1
EV000191,GreenDrive,A1,LFP,80,2023-01-16,healthy,19991.4
EV000192,Aurora,G1,LFP,70,2023-01-18,mileage,52057.5
EV000193,Aurora,A2,LFP,70,2023-01-20,mileage,42381.7
EV000194,GreenDrive,V1,NMC,60,2023-01-22,mileage,53921.4
EV000195,E-Motion,V1,NMC,70,2023-01-24,hot,29016.2
EV000196,Voltix,V1,LFP,50,2023-01-26,mileage,45318.3
EV000197,Voltix,V2,NMC,70,2023-01-28,charging,23640.3
EV000198,GreenDrive,G1,NMC,50,2023-01-30,healthy,31283.3
EV000199,Voltix,A2,NMC,80,2023-02-01,healthy,33275.5
EV000200,Aurora,A1,LFP,60,2023-02-03,healthy,26842.2
EV000201,GreenDrive,E3,NMC,50,2023-02-05,degraded,28911.9
EV000202,E-Motion,V2,NMC,50,2023-02-07,hot,15748.0
EV000203,Aurora,V1,LFP,50,2023-02-09,healthy,35488.1
EV000204,GreenDrive,G1,NMC,60,2023-02-11,degraded,63801.5
EV000205,E-Motion,V1,LFP,50,2023-02-13,degraded,88792.5
EV000206,E-Motion,V1,LFP,60,2023-02-15,degraded,22700.7
EV000207,GreenDrive,G1,LFP,50,2023-02-17,healthy,24139.2
EV000208,Voltix,A2,NMC,50,2023-02-19,healthy,43788.2
EV000209,Aurora,G1,NMC,80,2023-02-21,charging,46765.5
EV000210,GreenDrive,V1,NMC,60,2023-02-23,charging,14559.2
EV000211,Aurora,E3,LFP,80,2023-02-25,healthy,1000.0
EV000212,E-Motion,V2,NMC,80,2023-02-27,mileage,42460.3
EV000213,Voltix,E3,NMC,50,2023-03-01,healthy,61816.5
EV000214,GreenDrive,G1,LFP,60,2023-03-03,healthy,63358.8
EV000215,Aurora,A1,LFP,50,2023-03-05,healthy,37670.3
EV000216,Aurora,E3,LFP,60,2023-03-07,healthy,62828.7
EV000217,Voltix,V1,LFP,60,2023-03-09,healthy,34784.6
EV000218,E-Motion,V1,NMC,80,2023-03-11,charging,12718.2
EV000219,Aurora,E3,NMC,60,2023-03-13,mileage,35428.1
EV000220,E-Motion,V1,LFP,80,2023-03-15,healthy,56440.9
EV000221,Aurora,A1,NMC,70,2023-03-17,healthy,40176.6
EV000222,GreenDrive,V2,NMC,70,2023-03-19,mileage,27657.0
EV000223,GreenDrive,G1,NMC,60,2023-03-21,hot,38812.1
EV000224,Aurora,V2,NMC,70,2023-03-23,mileage,43891.6
EV000225,E-Motion,A2,NMC,50,2023-03-25,healthy,40339.8
EV000226,GreenDrive,A1,LFP,50,2023-03-27,healthy,43302.4
EV000227,Voltix,A2,NMC,70,2023-03-29,mileage,44646.5
EV000228,E-Motion,V2,NMC,80,2023-03-31,fault,57068.9
EV000229,GreenDrive,A2,LFP,50,2023-04-02,mileage,40243.2
EV000230,GreenDrive,E3,NMC,70,2023-04-04,charging,35131.9
EV000231,E-Motion,V1,NMC,50,2023-04-06,healthy,44317.9
EV000232,E-Motion,A1,LFP,80,2023-04-08,healthy,48502.8
EV000233,Aurora,V2,LFP,50,2023-04-10,charging,6544.3
EV000234,Voltix,E3,LFP,50,2023-04-12,mileage,58501.9
EV000235,E-Motion,G1,NMC,80,2023-04-14,mileage,68396.1
EV000236,GreenDrive,A1,LFP,50,2023-04-16,healthy,38346.9
EV000237,Voltix,E3,LFP,50,2023-04-18,healthy,48935.2
EV000238,Voltix,A1,NMC,80,2023-04-20,hot,24606.2
EV000239,E-Motion,G1,NMC,50,2023-04-22,healthy,50000.3
EV000240,Aurora,V2,NMC,60,2023-04-24,healthy,22600.7
EV000241,Aurora,A1,NMC,80,2023-04-26,degraded,41149.7
EV000242,E-Motion,E3,NMC,80,2023-04-28,fault,48259.4
EV000243,E-Motion,E3,LFP,50,2023-04-30,fault,23757.2
EV000244,GreenDrive,V2,LFP,80,2023-05-02,mileage,17983.5
EV000245,GreenDrive,V1,NMC,80,2023-05-04,healthy,31698.8
EV000246,GreenDrive,V2,NMC,50,2023-05-06,healthy,27761.5
EV000247,Voltix,E3,NMC,70,2023-05-08,mileage,32091.3
EV000248,Voltix,A1,LFP,70,2023-05-10,healthy,18126.8
EV000249,E-Motion,A1,NMC,60,2023-05-12,healthy,57391.9
EV000250,E-Motion,V2,LFP,60,2023-05-14,healthy,33033.2
EV000251,Voltix,G1,NMC,60,2023-05-16,fault,45836.4
EV000252,E-Motion,V2,LFP,80,2023-05-18,healthy,8631.6
EV000253,Aurora,A1,LFP,50,2023-05-20,healthy,27325.3
EV000254,Voltix,A1,LFP,70,2023-05-22,charging,66598.1
EV000255,E-Motion,V2,NMC,70,2023-05-24,hot,22105.3
EV000256,GreenDrive,E3,NMC,70,2023-05-26,degraded,43007.4
EV000257,Aurora,V2,NMC,70,2023-05-28,healthy,75488.0
EV000258,GreenDrive,A2,NMC,60,2023-05-30,fault,37847.1
EV000259,GreenDrive,A2,NMC,60,2023-06-01,fault,64962.2
EV000260,Voltix,V1,LFP,50,2023-06-03,mileage,21753.8
EV000261,E-Motion,A1,NMC,60,2023-06-05,fault,29268.1
EV000262,Voltix,V1,NMC,60,2023-06-07,mileage,36790.7
EV000263,Aurora,A1,LFP,80,2023-06-09,healthy,28137.8
EV000264,E-Motion,E3,NMC,70,2023-06-11,degraded,44028.9
EV000265,GreenDrive,E3,NMC,60,2023-06-13,hot,5905.0
EV000266,GreenDrive,G1,NMC,80,2023-06-15,healthy,18767.7
EV000267,Aurora,A2,NMC,70,2023-06-17,mileage,61399.3
EV000268,E-Motion,E3,NMC,60,2023-06-19,healthy,39999.1
EV000269,Aurora,E3,NMC,70,2023-06-21,charging,46607.4
EV000270,GreenDrive,A2,NMC,60,2023-06-23,mileage,68100.4
EV000271,Voltix,G1,NMC,80,2023-06-25,healthy,6413.6
EV000272,GreenDrive,A2,LFP,80,2023-06-27,fault,1000.0
EV000273,E-Motion,A2,LFP,50,2023-06-29,fault,69679.7
EV000274,E-Motion,V1,NMC,60,2023-07-01,degraded,13133.4
EV000275,Aurora,E3,NMC,60,2023-07-03,healthy,39209.8
EV000276,E-Motion,V1,NMC,70,2023-07-05,mileage,8464.6
EV000277,E-Motion,E3,NMC,70,2023-07-07,healthy,1000.0
EV000278,Aurora,E3,NMC,80,2023-07-09,healthy,36280.9
EV000279,Voltix,V2,LFP,50,2023-07-11,healthy,46024.5
EV000280,Voltix,V2,LFP,70,2023-07-13,healthy,22781.8
EV000281,Aurora,V1,NMC,80,2023-07-15,degraded,1000.0
EV000282,GreenDrive,V1,LFP,50,2023-07-17,healthy,43101.4
EV000283,E-Motion,A2,LFP,70,2023-07-19,healthy,71739.6
EV000284,Voltix,V2,NMC,70,2023-07-21,hot,6413.1
EV000285,Voltix,A1,LFP,50,2023-07-23,charging,51286.9
EV000286,Aurora,V1,NMC,50,2023-07-25,charging,42511.7
EV000287,GreenDrive,V1,NMC,50,2023-07-27,degraded,4218.0
EV000288,Aurora,G1,LFP,60,2023-07-29,fault,55701.4
EV000289,E-Motion,G1,NMC,70,2023-07-31,mileage,40845.9
EV000290,Aurora,E3,NMC,80,2023-08-02,degraded,34992.7
EV000291,Aurora,A2,LFP,70,2023-08-04,healthy,60527.1
EV000292,E-Motion,E3,NMC,70,2023-08-06,healthy,38136.0
EV000293,Voltix,E3,LFP,60,2023-08-08,charging,60587.8
EV000294,GreenDrive,G1,LFP,50,2023-08-10,healthy,84732.2
EV000295,E-Motion,V2,LFP,70,2023-08-12,degraded,41496.5
EV000296,Voltix,E3,LFP,70,2023-08-14,mileage,45584.6
EV000297,GreenDrive,A2,NMC,80,2023-08-16,healthy,27414.3
EV000298,GreenDrive,V2,LFP,70,2023-08-18,healthy,65383.0
EV000299,Voltix,V2,NMC,80,2023-08-20,mileage,15688.0
EV000300,Aurora,E3,NMC,80,2023-08-22,hot,28626.8
EV000301,Aurora,A1,NMC,80,2023-08-24,degraded,36862.9
EV000302,GreenDrive,V2,LFP,70,2023-08-26,healthy,34710.6
EV000303,Voltix,V2,NMC,50,2023-08-28,healthy,25159.0
EV000304,GreenDrive,G1,NMC,80,2023-08-30,mileage,53789.4
EV000305,Voltix,G1,LFP,70,2023-09-01,healthy,32408.5
EV000306,E-Motion,V1,NMC,70,2023-09-03,healthy,1000.0
EV000307,GreenDrive,V2,LFP,60,2023-09-05,mileage,58884.4
EV000308,Voltix,V1,NMC,50,2023-09-07,healthy,69150.8
EV000309,E-Motion,A1,NMC,80,2023-09-09,mileage,27951.3
EV000310,GreenDrive,A1,NMC,60,2023-09-11,healthy,62440.6
EV000311,Aurora,A1,NMC,70,2023-09-13,healthy,28397.0
EV000312,Aurora,G1,LFP,50,2023-09-15,charging,20109.6
EV000313,GreenDrive,V1,NMC,80,2023-09-17,mileage,21405.1
EV000314,GreenDrive,A1,LFP,60,2023-09-19,charging,67470.3
EV000315,GreenDrive,A2,NMC,50,2023-09-21,charging,62616.6
EV000316,GreenDrive,G1,NMC,60,2023-09-23,healthy,50514.3
EV000317,Aurora,E3,NMC,50,2023-09-25,healthy,19789.2
EV000318,GreenDrive,V1,LFP,60,2023-09-27,mileage,52392.3
EV000319,Aurora,V1,NMC,70,2023-09-29,healthy,18450.5
EV000320,GreenDrive,G1,LFP,60,2023-10-01,healthy,49256.7
EV000321,E-Motion,V1,NMC,50,2023-10-03,charging,28179.8
EV000322,E-Motion,A1,LFP,50,2023-10-05,charging,27748.2
EV000323,Voltix,E3,NMC,50,2023-10-07,healthy,28588.6
EV000324,E-Motion,A2,LFP,80,2023-10-09,hot,1000.0
EV000325,E-Motion,V2,LFP,70,2023-10-11,mileage,6398.8
EV000326,E-Motion,E3,LFP,50,2023-10-13,degraded,35298.4
EV000327,Aurora,V2,LFP,60,2023-10-15,healthy,18656.7
EV000328,Voltix,V1,LFP,60,2023-10-17,mileage,52798.7
EV000329,Aurora,V2,LFP,70,2023-10-19,charging,59145.0
EV000330,GreenDrive,V1,LFP,70,2023-10-21,degraded,9924.3
EV000331,GreenDrive,V2,NMC,70,2023-10-23,healthy,10862.8
EV000332,Aurora,A2,NMC,50,2023-10-25,charging,34940.2
EV000333,E-Motion,E3,NMC,50,2023-10-27,healthy,72996.4
EV000334,Voltix,A1,LFP,60,2023-10-29,hot,23781.9
EV000335,E-Motion,A2,NMC,60,2023-10-31,hot,46887.9
EV000336,GreenDrive,G1,NMC,60,2023-11-02,healthy,8143.0
EV000337,E-Motion,V2,NMC,80,2023-11-04,charging,21483.3
EV000338,GreenDrive,V2,LFP,80,2023-11-06,mileage,46491.1
EV000339,Voltix,E3,LFP,80,2023-11-08,fault,33375.8
EV000340,Voltix,E3,NMC,50,2023-11-10,fault,46700.4
EV000341,GreenDrive,A1,NMC,50,2023-11-12,charging,39915.5
EV000342,GreenDrive,V1,NMC,50,2023-11-14,charging,37403.8
EV000343,E-Motion,E3,NMC,60,2023-11-16,healthy,37001.7
EV000344,GreenDrive,V1,NMC,60,2023-11-18,hot,62301.4
EV000345,Voltix,V1,LFP,60,2023-11-20,degraded,36419.5
EV000346,GreenDrive,G1,NMC,70,2023-11-22,mileage,53071.5
EV000347,Aurora,G1,NMC,50,2023-11-24,mileage,32759.7
EV000348,E-Motion,G1,LFP,80,2023-11-26,healthy,39179.3
EV000349,E-Motion,A1,NMC,50,2023-11-28,healthy,18191.4
EV000350,Voltix,V2,NMC,70,2023-11-30,degraded,1000.0
EV000351,Voltix,A1,LFP,70,2023-12-02,healthy,29804.7
EV000352,Aurora,E3,LFP,80,2023-12-04,degraded,39164.2
EV000353,Voltix,A2,LFP,50,2023-12-06,healthy,28779.0
EV000354,Voltix,A1,NMC,70,2023-12-08,healthy,47120.4
EV000355,E-Motion,V2,LFP,80,2023-12-10,healthy,22936.8
EV000356,Voltix,V1,NMC,80,2023-12-12,hot,12218.0
EV000357,E-Motion,G1,NMC,80,2023-12-14,healthy,10738.0
EV000358,Aurora,V2,LFP,80,2023-12-16,mileage,49036.2
EV000359,GreenDrive,A1,NMC,50,2023-12-18,healthy,22310.0
EV000360,Aurora,V1,LFP,80,2023-12-20,mileage,37295.0
EV000361,Voltix,G1,NMC,60,2023-12-22,hot,11680.1
EV000362,Voltix,A2,LFP,50,2023-12-24,healthy,21434.3
EV000363,GreenDrive,E3,NMC,50,2023-12-26,degraded,36578.0
EV000364,Voltix,E3,NMC,80,2023-12-28,degraded,56325.7
EV000365,GreenDrive,A2,LFP,60,2023-12-30,fault,17627.7
EV000366,GreenDrive,A2,LFP,70,2024-01-01,healthy,10670.7
EV000367,E-Motion,E3,LFP,70,2024-01-03,charging,36520.3
EV000368,E-Motion,G1,NMC,50,2024-01-05,healthy,39471.1
EV000369,E-Motion,V1,LFP,80,2024-01-07,fault,28866.2
EV000370,E-Motion,A2,NMC,50,2024-01-09,healthy,58596.2
EV000371,GreenDrive,V2,LFP,50,2024-01-11,healthy,5695.3
EV000372,GreenDrive,E3,LFP,50,2024-01-13,healthy,21787.1
EV000373,Voltix,V2,NMC,60,2024-01-15,charging,36606.1
EV000374,GreenDrive,V1,NMC,60,2024-01-17,mileage,20804.1
EV000375,Aurora,A2,LFP,80,2024-01-19,fault,42612.3
EV000376,Voltix,E3,NMC,50,2024-01-21,healthy,36645.6
EV000377,E-Motion,V2,LFP,80,2024-01-23,charging,32065.0
EV000378,E-Motion,V1,NMC,60,2024-01-25,healthy,79948.7
EV000379,Voltix,V2,LFP,80,2024-01-27,healthy,18697.7
EV000380,GreenDrive,V1,LFP,50,2024-01-29,hot,31819.0
EV000381,Aurora,A2,NMC,60,2024-01-31,healthy,45354.3
EV000382,Aurora,V2,LFP,50,2024-02-02,mileage,23000.4
EV000383,Voltix,A2,LFP,60,2024-02-04,mileage,38984.0
EV000384,E-Motion,G1,LFP,50,2024-02-06,healthy,51929.3
EV000385,Voltix,A2,NMC,60,2024-02-08,healthy,40443.7
EV000386,GreenDrive,E3,NMC,50,2024-02-10,healthy,49916.9
EV000387,E-Motion,A2,LFP,60,2024-02-12,healthy,29795.0
EV000388,Voltix,A1,LFP,80,2024-02-14,fault,31847.6
EV000389,Voltix,G1,NMC,50,2024-02-16,mileage,71174.3
EV000390,E-Motion,A1,LFP,70,2024-02-18,healthy,45094.4
EV000391,Voltix,A1,LFP,70,2024-02-20,degraded,53977.2
