fault_id,vehicle_id,fault_time,fault_type,fault_level,repair_status
FLT000056,EV000128,2025-03-19T08:00:00Z,none,high,review
FLT000057,EV000037,2025-03-19T16:00:00Z,none,low,pending
FLT000058,EV000457,2025-03-20T00:00:00Z,charging_efficiency,low,resolved
FLT000059,EV000280,2025-03-20T08:00:00Z,none,low,pending
FLT000060,EV000206,2025-03-20T16:00:00Z,none,high,pending
FLT000061,EV000230,2025-03-21T00:00:00Z,charging_efficiency,low,resolved
FLT000062,EV000019,2025-03-21T08:00:00Z,none,low,review
FLT000063,EV000199,2025-03-21T16:00:00Z,none,low,pending
FLT000064,EV000018,2025-03-22T00:00:00Z,none,low,resolved
FLT000065,EV000415,2025-03-22T08:00:00Z,none,low,pending
FLT000066,EV000341,2025-03-22T16:00:00Z,charging_efficiency,low,resolved
FLT000067,EV000042,2025-03-23T00:00:00Z,none,low,review
FLT000068,EV000420,2025-03-23T08:00:00Z,none,low,resolved
FLT000069,EV000017,2025-03-23T16:00:00Z,none,low,review
FLT000070,EV000217,2025-03-24T00:00:00Z,none,low,pending
FLT000071,EV000084,2025-03-24T08:00:00Z,none,low,pending
FLT000072,EV000290,2025-03-24T16:00:00Z,none,high,resolved
FLT000073,EV000494,2025-03-25T00:00:00Z,battery_temperature,high,pending
FLT000074,EV000286,2025-03-25T08:00:00Z,charging_efficiency,low,review
FLT000075,EV000484,2025-03-25T16:00:00Z,none,low,review
FLT000076,EV000123,2025-03-26T00:00:00Z,none,low,pending
FLT000077,EV000190,2025-03-26T08:00:00Z,none,low,pending
FLT000078,EV000389,2025-03-26T16:00:00Z,none,low,resolved
FLT000079,EV000455,2025-03-27T00:00:00Z,none,low,pending
FLT000080,EV000136,2025-03-27T08:00:00Z,battery_temperature,high,pending
FLT000081,EV000463,2025-03-27T16:00:00Z,none,high,resolved
FLT000082,EV000302,2025-03-28T00:00:00Z,none,low,pending
FLT000083,EV000353,2025-03-28T08:00:00Z,none,low,pending
FLT000084,EV000441,2025-03-28T16:00:00Z,battery_temperature,high,review
FLT000085,EV000318,2025-03-29T00:00:00Z,none,low,resolved
FLT000086,EV000141,2025-03-29T08:00:00Z,battery_temperature,high,review
FLT000087,EV000345,2025-03-29T16:00:00Z,none,high,resolved
FLT000088,EV000109,2025-03-30T00:00:00Z,battery_temperature,high,resolved
FLT000089,EV000201,2025-03-30T08:00:00Z,none,high,resolved
FLT000090,EV000371,2025-03-30T16:00:00Z,none,low,pending
FLT000091,EV000082,2025-03-31T00:00:00Z,battery_temperature,high,pending
FLT000092,EV000376,2025-03-31T08:00:00Z,none,low,resolved
FLT000093,EV000097,2025-03-31T16:00:00Z,none,low,review
FLT000094,EV000038,2025-04-01T00:00:00Z,none,low,resolved
FLT000095,EV000410,2025-04-01T08:00:00Z,none,high,review
FLT000096,EV000266,2025-04-01T16:00:00Z,none,low,resolved
FLT000097,EV000245,2025-04-02T00:00:00Z,none,low,resolved
FLT000098,EV000021,2025-04-02T08:00:00Z,none,low,pending
FLT000099,EV000301,2025-04-02T16:00:00Z,none,high,review
FLT000100,EV000263,2025-04-03T00:00:00Z,none,low,pending
FLT000101,EV000413,2025-04-03T08:00:00Z,charging_efficiency,low,review
FLT000102,EV000308,2025-04-03T16:00:00Z,none,low,review
FLT000103,EV000393,2025-04-04T00:00:00Z,none,low,resolved
FLT000104,EV000368,2025-04-04T08:00:00Z,none,low,review
FLT000105,EV000362,2025-04-04T16:00:00Z,none,low,review
FLT000106,EV000125,2025-04-05T00:00:00Z,none,low,resolved
FLT000107,EV000484,2025-04-05T08:00:00Z,none,low,resolved
FLT000108,EV000029,2025-04-05T16:00:00Z,none,low,pending
FLT000109,EV000075,2025-04-06T00:00:00Z,charging_efficiency,low,pending
FLT000110,EV000179,2025-04-06T08:00:00Z,none,high,resolved
FLT000111,EV000275,2025-04-06T16:00:00Z,none,low,pending
FLT000112,EV000359,2025-04-07T00:00:00Z,none,low,pending
FLT000113,EV000470,2025-04-07T08:00:00Z,none,low,pending
FLT000114,EV000206,2025-04-07T16:00:00Z,none,high,pending
FLT000115,EV000205,2025-04-08T00:00:00Z,none,high,resolved
FLT000116,EV000427,2025-04-08T08:00:00Z,none,low,review
FLT000117,EV000330,2025-04-08T16:00:00Z,none,high,review
FLT000118,EV000235,2025-04-09T00:00:00Z,none,low,review
FLT000119,EV000444,2025-04-09T08:00:00Z,none,low,pending
FLT000120,EV000339,2025-04-09T16:00:00Z,none,high,pending
FLT000121,EV000113,2025-04-10T00:00:00Z,battery_temperature,high,pending
FLT000122,EV000376,2025-04-10T08:00:00Z,none,low,resolved
FLT000123,EV000371,2025-04-10T16:00:00Z,none,low,pending
FLT000124,EV000081,2025-04-11T00:00:00Z,none,low,pending
FLT000125,EV000409,2025-04-11T08:00:00Z,none,low,review
FLT000126,EV000288,2025-04-11T16:00:00Z,none,high,resolved
FLT000127,EV000099,2025-04-12T00:00:00Z,none,low,pending
FLT000128,EV000278,2025-04-12T08:00:00Z,none,low,pending
FLT000129,EV000497,2025-04-12T16:00:00Z,none,low,pending
FLT000130,EV000387,2025-04-13T00:00:00Z,none,low,pending
FLT000131,EV000017,2025-04-13T08:00:00Z,none,low,pending
FLT000132,EV000460,2025-04-13T16:00:00Z,none,low,review
FLT000133,EV000085,2025-04-14T00:00:00Z,none,low,resolved
FLT000134,EV000030,2025-04-14T08:00:00Z,none,low,resolved
FLT000135,EV000304,2025-04-14T16:00:00Z,none,low,resolved
FLT000136,EV000474,2025-04-15T00:00:00Z,charging_efficiency,low,resolved
FLT000137,EV000303,2025-04-15T08:00:00Z,none,low,review
FLT000138,EV000341,2025-04-15T16:00:00Z,charging_efficiency,low,review
FLT000139,EV000081,2025-04-16T00:00:00Z,none,low,pending
FLT000140,EV000309,2025-04-16T08:00:00Z,none,low,resolved
FLT000141,EV000367,2025-04-16T16:00:00Z,charging_efficiency,low,resolved
FLT000142,EV000106,2025-04-17T00:00:00Z,none,low,resolved
FLT000143,EV000322,2025-04-17T08:00:00Z,charging_efficiency,low,pending
FLT000144,EV000238,2025-04-17T16:00:00Z,battery_temperature,high,resolved
FLT000145,EV000201,2025-04-18T00:00:00Z,none,high,pending
FLT000146,EV000288,2025-04-18T08:00:00Z,none,high,review
FLT000147,EV000390,2025-04-18T16:00:00Z,none,low,pending
FLT000148,EV000145,2025-04-19T00:00:00Z,none,high,review
FLT000149,EV000111,2025-04-19T08:00:00Z,battery_temperature,high,resolved
FLT000150,EV000007,2025-04-19T16:00:00Z,charging_efficiency,low,review
FLT000151,EV000288,2025-04-20T00:00:00Z,none,high,pending
FLT000152,EV000317,2025-04-20T08:00:00Z,none,low,review
FLT000153,EV000226,2025-04-20T16:00:00Z,none,low,resolved
FLT000154,EV000362,2025-04-21T00:00:00Z,none,low,resolved
FLT000155,EV000002,2025-04-21T08:00:00Z,battery_temperature,high,review
FLT000156,EV000439,2025-04-21T16:00:00Z,none,low,review
FLT000157,EV000467,2025-04-22T00:00:00Z,none,low,resolved
FLT000158,EV000402,2025-04-22T08:00:00Z,none,low,review
FLT000159,EV000318,2025-04-22T16:00:00Z,none,low,resolved
FLT000160,EV000074,2025-04-23T00:00:00Z,none,high,resolved
FLT000161,EV000411,2025-04-23T08:00:00Z,none,low,review
FLT000162,EV000432,2025-04-23T16:00:00Z,none,low,pending
FLT000163,EV000339,2025-04-24T00:00:00Z,none,high,review
FLT000164,EV000136,2025-04-24T08:00:00Z,battery_temperature,high,resolved
FLT000165,EV000090,2025-04-24T16:00:00Z,charging_efficiency,low,review
FLT000166,EV000378,2025-04-25T00:00:00Z,none,low,resolved
FLT000167,EV000421,2025-04-25T08:00:00Z,none,low,pending
FLT000168,EV000309,2025-04-25T16:00:00Z,none,low,pending
FLT000169,EV000277,2025-04-26T00:00:00Z,none,low,resolved
FLT000170,EV000499,2025-04-26T08:00:00Z,none,low,review
FLT000171,EV000062,2025-04-26T16:00:00Z,none,low,pending
FLT000172,EV000228,2025-04-27T00:00:00Z,none,high,resolved
FLT000173,EV000458,2025-04-27T08:00:00Z,none,high,review
FLT000174,EV000485,2025-04-27T16:00:00Z,none,low,review
FLT000175,EV000470,2025-04-28T00:00:00Z,none,low,resolved
FLT000176,EV000443,2025-04-28T08:00:00Z,none,high,pending
FLT000177,EV000292,2025-04-28T16:00:00Z,none,low,review
FLT000178,EV000067,2025-04-29T00:00:00Z,none,low,resolved
FLT000179,EV000154,2025-04-29T08:00:00Z,none,low,pending
FLT000180,EV000373,2025-04-29T16:00:00Z,charging_efficiency,low,resolved
FLT000181,EV000060,2025-04-30T00:00:00Z,none,high,review
FLT000182,EV000135,2025-04-30T08:00:00Z,none,low,review
FLT000183,EV000500,2025-04-30T16:00:00Z,none,low,pending
FLT000184,EV000017,2025-05-01T00:00:00Z,none,low,review
FLT000185,EV000094,2025-05-01T08:00:00Z,none,high,pending
FLT000186,EV000375,2025-05-01T16:00:00Z,none,high,review
FLT000187,EV000386,2025-05-02T00:00:00Z,none,low,pending
FLT000188,EV000382,2025-05-02T08:00:00Z,none,low,pending
FLT000189,EV000278,2025-05-02T16:00:00Z,none,low,pending
FLT000190,EV000243,2025-05-03T00:00:00Z,none,high,pending
FLT000191,EV000046,2025-05-03T08:00:00Z,none,low,pending
FLT000192,EV000402,2025-05-03T16:00:00Z,none,low,review
FLT000193,EV000035,2025-05-04T00:00:00Z,none,low,pending
FLT000194,EV000015,2025-05-04T08:00:00Z,none,low,review
FLT000195,EV000230,2025-05-04T16:00:00Z,charging_efficiency,low,review
FLT000196,EV000137,2025-05-05T00:00:00Z,battery_temperature,high,review
FLT000197,EV000316,2025-05-05T08:00:00Z,none,low,pending
FLT000198,EV000162,2025-05-05T16:00:00Z,none,low,resolved
FLT000199,EV000211,2025-05-06T00:00:00Z,none,low,pending
FLT000200,EV000260,2025-05-06T08:00:00Z,none,low,pending
FLT000201,EV000087,2025-05-06T16:00:00Z,none,low,review
FLT000202,EV000474,2025-05-07T00:00:00Z,charging_efficiency,low,review
FLT000203,EV000453,2025-05-07T08:00:00Z,none,low,pending
FLT000204,EV000257,2025-05-07T16:00:00Z,none,low,pending
FLT000205,EV000073,2025-05-08T00:00:00Z,none,high,review
FLT000206,EV000050,2025-05-08T08:00:00Z,none,low,pending
FLT000207,EV000414,2025-05-08T16:00:00Z,battery_temperature,high,review
FLT000208,EV000335,2025-05-09T00:00:00Z,battery_temperature,high,pending
FLT000209,EV000397,2025-05-09T08:00:00Z,none,low,resolved
FLT000210,EV000486,2025-05-09T16:00:00Z,none,high,review
FLT000211,EV000031,2025-05-10T00:00:00Z,none,low,review
FLT000212,EV000128,2025-05-10T08:00:00Z,none,high,review
FLT000213,EV000499,2025-05-10T16:00:00Z,none,low,review
FLT000214,EV000078,2025-05-11T00:00:00Z,none,high,pending
FLT000215,EV000469,2025-05-11T08:00:00Z,none,low,resolved
FLT000216,EV000311,2025-05-11T16:00:00Z,none,low,resolved
FLT000217,EV000091,2025-05-12T00:00:00Z,charging_efficiency,low,pending
FLT000218,EV000018,2025-05-12T08:00:00Z,none,low,resolved
FLT000219,EV000109,2025-05-12T16:00:00Z,battery_temperature,high,pending
FLT000220,EV000160,2025-05-13T00:00:00Z,none,high,pending
FLT000221,EV000166,2025-05-13T08:00:00Z,none,low,resolved
FLT000222,EV000444,2025-05-13T16:00:00Z,none,low,resolved
FLT000223,EV000050,2025-05-14T00:00:00Z,none,low,pending
FLT000224,EV000061,2025-05-14T08:00:00Z,none,low,pending
FLT000225,EV000430,2025-05-14T16:00:00Z,charging_efficiency,low,review
FLT000226,EV000112,2025-05-15T00:00:00Z,none,low,resolved
FLT000227,EV000336,2025-05-15T08:00:00Z,none,low,review
FLT000228,EV000177,2025-05-15T16:00:00Z,charging_efficiency,low,review
FLT000229,EV000119,2025-05-16T00:00:00Z,none,low,resolved
FLT000230,EV000081,2025-05-16T08:00:00Z,none,low,pending
FLT000231,EV000026,2025-05-16T16:00:00Z,none,low,pending
FLT000232,EV000092,2025-05-17T00:00:00Z,none,low,review
FLT000233,EV000226,2025-05-17T08:00:00Z,none,low,resolved
FLT000234,EV000228,2025-05-17T16:00:00Z,none,high,resolved
FLT000235,EV000320,2025-05-18T00:00:00Z,none,low,pending
FLT000236,EV000421,2025-05-18T08:00:00Z,none,low,review
FLT000237,EV000244,2025-05-18T16:00:00Z,none,low,pending
FLT000238,EV000137,2025-05-19T00:00:00Z,battery_temperature,high,resolved
FLT000239,EV000380,2025-05-19T08:00:00Z,battery_temperature,high,pending
FLT000240,EV000094,2025-05-19T16:00:00Z,none,high,resolved
FLT000241,EV000455,2025-05-20T00:00:00Z,none,low,review
FLT000242,EV000452,2025-05-20T08:00:00Z,none,low,resolved
FLT000243,EV000378,2025-05-20T16:00:00Z,none,low,pending
FLT000244,EV000276,2025-05-21T00:00:00Z,none,low,pending
FLT000245,EV000407,2025-05-21T08:00:00Z,none,low,pending
FLT000246,EV000372,2025-05-21T16:00:00Z,none,low,pending
FLT000247,EV000405,2025-05-22T00:00:00Z,none,low,resolved
FLT000248,EV000004,2025-05-22T08:00:00Z,none,low,resolved
FLT000249,EV000377,2025-05-22T16:00:00Z,charging_efficiency,low,pending
FLT000250,EV000178,2025-05-23T00:00:00Z,none,low,resolved
FLT000251,EV000325,2025-05-23T08:00:00Z,none,low,review
FLT000252,EV000299,2025-05-23T16:00:00Z,none,low,resolved
FLT000253,EV000383,2025-05-24T00:00:00Z,none,low,pending
FLT000254,EV000489,2025-05-24T08:00:00Z,charging_efficiency,low,review
FLT000255,EV000361,2025-05-24T16:00:00Z,battery_temperature,high,pending
FLT000256,EV000265,2025-05-25T00:00:00Z,battery_temperature,high,resolved
FLT000257,EV000078,2025-05-25T08:00:00Z,none,high,review
FLT000258,EV000426,2025-05-25T16:00:00Z,none,low,review
FLT000259,EV000219,2025-05-26T00:00:00Z,none,low,review
FLT000260,EV000372,2025-05-26T08:00:00Z,none,low,pending
FLT000261,EV000269,2025-05-26T16:00:00Z,charging_efficiency,low,pending
FLT000262,EV000434,2025-05-27T00:00:00Z,none,high,resolved
FLT000263,EV000011,2025-05-27T08:00:00Z,none,high,pending
FLT000264,EV000202,2025-05-27T16:00:00Z,battery_temperature,high,review
FLT000265,EV000218,2025-05-28T00:00:00Z,charging_efficiency,low,pending
FLT000266,EV000194,2025-05-28T08:00:00Z,none,low,review
FLT000267,EV000062,2025-05-28T16:00:00Z,none,low,resolved
FLT000268,EV000442,2025-05-29T00:00:00Z,none,low,pending
FLT000269,EV000110,2025-05-29T08:00:00Z,none,low,resolved
FLT000270,EV000396,2025-05-29T16:00:00Z,battery_temperature,high,pending
FLT000271,EV000034,2025-05-30T00:00:00Z,battery_temperature,high,resolved
FLT000272,EV000044,2025-05-30T08:00:00Z,battery_temperature,high,pending
FLT000273,EV000448,2025-05-30T16:00:00Z,none,low,review
FLT000274,EV000370,2025-05-31T00:00:00Z,none,low,resolved
FLT000275,EV000337,2025-05-31T08:00:00Z,charging_efficiency,low,review
FLT000276,EV000418,2025-05-31T16:00:00Z,none,low,resolved
FLT000277,EV000013,2025-06-01T00:00:00Z,battery_temperature,high,resolved
FLT000278,EV000359,2025-06-01T08:00:00Z,none,low,pending
FLT000279,EV000437,2025-06-01T16:00:00Z,none,high,resolved
FLT000280,EV000365,2025-06-02T00:00:00Z,none,high,pending
FLT000281,EV000235,2025-06-02T08:00:00Z,none,low,pending
FLT000282,EV000357,2025-06-02T16:00:00Z,none,low,pending
FLT000283,EV000340,2025-06-03T00:00:00Z,none,high,review
FLT000284,EV000490,2025-06-03T08:00:00Z,none,low,review
FLT000285,EV000413,2025-06-03T16:00:00Z,charging_efficiency,low,pending
FLT000286,EV000351,2025-06-04T00:00:00Z,none,low,review
FLT000287,EV000433,2025-06-04T08:00:00Z,none,low,resolved
FLT000288,EV000287,2025-06-04T16:00:00Z,none,high,pending
FLT000289,EV000250,2025-06-05T00:00:00Z,none,low,resolved
FLT000290,EV000047,2025-06-05T08:00:00Z,none,low,review
FLT000291,EV000202,2025-06-05T16:00:00Z,battery_temperature,high,resolved
FLT000292,EV000099,2025-06-06T00:00:00Z,none,low,resolved
FLT000293,EV000364,2025-06-06T08:00:00Z,none,high,resolved
FLT000294,EV000201,2025-06-06T16:00:00Z,none,high,resolved
FLT000295,EV000489,2025-06-07T00:00:00Z,charging_efficiency,low,resolved
FLT000296,EV000051,2025-06-07T08:00:00Z,battery_temperature,high,pending
FLT000297,EV000266,2025-06-07T16:00:00Z,none,low,resolved
FLT000298,EV000391,2025-06-08T00:00:00Z,none,high,pending
FLT000299,EV000292,2025-06-08T08:00:00Z,none,low,review
FLT000300,EV000082,2025-06-08T16:00:00Z,battery_temperature,high,review
FLT000301,EV000194,2025-06-09T00:00:00Z,none,low,pending
FLT000302,EV000041,2025-06-09T08:00:00Z,battery_temperature,high,pending
FLT000303,EV000315,2025-06-09T16:00:00Z,charging_efficiency,low,review
FLT000304,EV000071,2025-06-10T00:00:00Z,none,low,pending
FLT000305,EV000426,2025-06-10T08:00:00Z,none,low,pending
FLT000306,EV000098,2025-06-10T16:00:00Z,charging_efficiency,low,pending
FLT000307,EV000002,2025-06-11T00:00:00Z,battery_temperature,high,resolved
FLT000308,EV000431,2025-06-11T08:00:00Z,battery_temperature,high,review
FLT000309,EV000021,2025-06-11T16:00:00Z,none,low,pending
FLT000310,EV000233,2025-06-12T00:00:00Z,charging_efficiency,low,review
FLT000311,EV000341,2025-06-12T08:00:00Z,charging_efficiency,low,pending
FLT000312,EV000444,2025-06-12T16:00:00Z,none,low,review
FLT000313,EV000117,2025-06-13T00:00:00Z,none,low,resolved
FLT000314,EV000018,2025-06-13T08:00:00Z,none,low,pending
FLT000315,EV000162,2025-06-13T16:00:00Z,none,low,review
FLT000316,EV000233,2025-06-14T00:00:00Z,charging_efficiency,low,pending
FLT000317,EV000387,2025-06-14T08:00:00Z,none,low,review
FLT000318,EV000449,2025-06-14T16:00:00Z,battery_temperature,high,pending
FLT000319,EV000362,2025-06-15T00:00:00Z,none,low,resolved
FLT000320,EV000172,2025-06-15T08:00:00Z,none,low,resolved
FLT000321,EV000317,2025-06-15T16:00:00Z,none,low,resolved
FLT000322,EV000408,2025-06-16T00:00:00Z,none,high,pending
FLT000323,EV000331,2025-06-16T08:00:00Z,none,low,resolved
FLT000324,EV000284,2025-06-16T16:00:00Z,battery_temperature,high,review
FLT000325,EV000107,2025-06-17T00:00:00Z,battery_temperature,high,review
FLT000326,EV000485,2025-06-17T08:00:00Z,none,low,review
FLT000327,EV000088,2025-06-17T16:00:00Z,battery_temperature,high,review
FLT000328,EV000315,2025-06-18T00:00:00Z,charging_efficiency,low,review
FLT000329,EV000166,2025-06-18T08:00:00Z,none,low,resolved
FLT000330,EV000115,2025-06-18T16:00:00Z,none,low,pending
FLT000331,EV000286,2025-06-19T00:00:00Z,charging_efficiency,low,resolved
FLT000332,EV000371,2025-06-19T08:00:00Z,none,low,review
FLT000333,EV000026,2025-06-19T16:00:00Z,none,low,resolved
FLT000334,EV000398,2025-06-20T00:00:00Z,charging_efficiency,low,resolved
FLT000335,EV000188,2025-06-20T08:00:00Z,none,low,review
FLT000336,EV000333,2025-06-20T16:00:00Z,none,low,resolved
FLT000337,EV000177,2025-06-21T00:00:00Z,charging_efficiency,low,pending
FLT000338,EV000203,2025-06-21T08:00:00Z,none,low,resolved
FLT000339,EV000404,2025-06-21T16:00:00Z,none,low,review
FLT000340,EV000252,2025-06-22T00:00:00Z,none,low,resolved
FLT000341,EV000174,2025-06-22T08:00:00Z,none,high,pending
FLT000342,EV000360,2025-06-22T16:00:00Z,none,low,review
FLT000343,EV000390,2025-06-23T00:00:00Z,none,low,resolved
FLT000344,EV000082,2025-06-23T08:00:00Z,battery_temperature,high,resolved
FLT000345,EV000069,2025-06-23T16:00:00Z,none,high,resolved
FLT000346,EV000182,2025-06-24T00:00:00Z,battery_temperature,high,resolved
FLT000347,EV000487,2025-06-24T08:00:00Z,none,low,review
FLT000348,EV000333,2025-06-24T16:00:00Z,none,low,resolved
FLT000349,EV000102,2025-06-25T00:00:00Z,none,low,pending
FLT000350,EV000415,2025-06-25T08:00:00Z,none,low,review
FLT000351,EV000204,2025-06-25T16:00:00Z,none,high,resolved
FLT000352,EV000497,2025-06-26T00:00:00Z,none,low,review
FLT000353,EV000068,2025-06-26T08:00:00Z,none,low,pending
FLT000354,EV000382,2025-06-26T16:00:00Z,none,low,resolved
FLT000355,EV000306,2025-06-27T00:00:00Z,none,low,resolved
FLT000356,EV000237,2025-06-27T08:00:00Z,none,low,review
FLT000357,EV000437,2025-06-27T16:00:00Z,none,high,resolved
FLT000358,EV000013,2025-06-28T00:00:00Z,battery_temperature,high,review
FLT000359,EV000033,2025-06-28T08:00:00Z,none,high,pending
FLT000360,EV000249,2025-06-28T16:00:00Z,none,low,pending
FLT000361,EV000341,2025-06-29T00:00:00Z,charging_efficiency,low,review
FLT000362,EV000499,2025-06-29T08:00:00Z,none,low,pending
FLT000363,EV000105,2025-06-29T16:00:00Z,none,high,pending
FLT000364,EV000285,2025-06-30T00:00:00Z,charging_efficiency,low,resolved
FLT000365,EV000257,2025-06-30T08:00:00Z,none,low,pending
FLT000366,EV000333,2025-06-30T16:00:00Z,none,low,resolved
FLT000367,EV000231,2025-07-01T00:00:00Z,none,low,review
FLT000368,EV000154,2025-07-01T08:00:00Z,none,low,pending
FLT000369,EV000216,2025-07-01T16:00:00Z,none,low,review
FLT000370,EV000327,2025-07-02T00:00:00Z,none,low,review
FLT000371,EV000472,2025-07-02T08:00:00Z,battery_temperature,high,resolved
FLT000372,EV000253,2025-07-02T16:00:00Z,none,low,resolved
FLT000373,EV000216,2025-07-03T00:00:00Z,none,low,review
FLT000374,EV000169,2025-07-03T08:00:00Z,none,low,resolved
FLT000375,EV000407,2025-07-03T16:00:00Z,none,low,review
FLT000376,EV000081,2025-07-04T00:00:00Z,none,low,review
FLT000377,EV000421,2025-07-04T08:00:00Z,none,low,review
FLT000378,EV000418,2025-07-04T16:00:00Z,none,low,pending
FLT000379,EV000046,2025-07-05T00:00:00Z,none,low,review
FLT000380,EV000291,2025-07-05T08:00:00Z,none,low,pending
FLT000381,EV000006,2025-07-05T16:00:00Z,none,high,pending
FLT000382,EV000118,2025-07-06T00:00:00Z,none,low,pending
FLT000383,EV000092,2025-07-06T08:00:00Z,none,low,resolved
FLT000384,EV000231,2025-07-06T16:00:00Z,none,low,resolved
FLT000385,EV000028,2025-07-07T00:00:00Z,none,low,pending
FLT000386,EV000011,2025-07-07T08:00:00Z,none,high,resolved
FLT000387,EV000490,2025-07-07T16:00:00Z,none,low,pending
FLT000388,EV000034,2025-07-08T00:00:00Z,battery_temperature,high,review
FLT000389,EV000461,2025-07-08T08:00:00Z,charging_efficiency,low,resolved
FLT000390,EV000312,2025-07-08T16:00:00Z,charging_efficiency,low,review
FLT000391,EV000391,2025-07-09T00:00:00Z,none,high,pending
FLT000392,EV000082,2025-07-09T08:00:00Z,battery_temperature,high,pending
FLT000393,EV000164,2025-07-09T16:00:00Z,none,high,review
FLT000394,EV000054,2025-07-10T00:00:00Z,none,low,pending
FLT000395,EV000022,2025-07-10T08:00:00Z,none,low,resolved
FLT000396,EV000137,2025-07-10T16:00:00Z,battery_temperature,high,resolved
FLT000397,EV000461,2025-07-11T00:00:00Z,charging_efficiency,low,pending
FLT000398,EV000306,2025-07-11T08:00:00Z,none,low,pending
FLT000399,EV000462,2025-07-11T16:00:00Z,none,low,pending
FLT000400,EV000143,2025-07-12T00:00:00Z,none,low,review
FLT000401,EV000341,2025-07-12T08:00:00Z,charging_efficiency,low,review
FLT000402,EV000418,2025-07-12T16:00:00Z,none,low,review
FLT000403,EV000378,2025-07-13T00:00:00Z,none,low,review
FLT000404,EV000298,2025-07-13T08:00:00Z,none,low,resolved
FLT000405,EV000201,2025-07-13T16:00:00Z,none,high,resolved
FLT000406,EV000473,2025-07-14T00:00:00Z,none,low,review
