charge_id,vehicle_id,station_id,start_time,charge_duration_min,start_soc_percent,end_soc_percent,average_power_kw,max_temperature_c,charging_status
CHG0000029,EV000108,ST002,2025-02-04T12:00:00Z,88.2,16.61,88.03,64.24,42.65,completed
CHG0000030,EV000493,ST003,2025-02-04T15:00:00Z,53.9,34.56,84.69,61.75,39.02,completed
CHG0000031,EV000425,ST001,2025-02-04T18:00:00Z,51.5,37.98,75.13,56.52,41.83,completed
CHG0000032,EV000030,ST004,2025-02-04T21:00:00Z,66.4,13.1,76.08,42.73,37.14,completed
CHG0000033,EV000302,ST004,2025-02-05T00:00:00Z,46.2,10.76,85.76,58.21,34.33,completed
CHG0000034,EV000384,ST002,2025-02-05T03:00:00Z,48.8,35.17,83.87,43.42,35.28,completed
CHG0000035,EV000392,ST002,2025-02-05T06:00:00Z,49.5,29.65,95.65,53.75,33.33,completed
CHG0000036,EV000402,ST004,2025-02-05T09:00:00Z,45.2,32.65,79.44,45.29,39.6,completed
CHG0000037,EV000086,ST001,2025-02-05T12:00:00Z,52.0,35.95,77.71,51.45,52.1,completed
CHG0000038,EV000421,ST003,2025-02-05T15:00:00Z,41.6,31.6,76.95,46.2,42.01,completed
CHG0000039,EV000329,ST002,2025-02-05T18:00:00Z,113.6,18.51,77.98,58.39,39.04,completed
CHG0000040,EV000124,ST001,2025-02-05T21:00:00Z,53.3,34.71,75.31,32.27,37.78,completed
CHG0000041,EV000495,ST002,2025-02-06T00:00:00Z,66.7,12.1,95.32,52.76,40.77,completed
CHG0000042,EV000460,ST004,2025-02-06T03:00:00Z,45.8,22.12,83.74,37.12,34.4,completed
CHG0000043,EV000081,ST003,2025-02-06T06:00:00Z,45.4,11.58,77.22,55.01,40.47,completed
CHG0000044,EV000298,ST001,2025-02-06T09:00:00Z,59.0,28.97,77.65,48.3,36.67,completed
CHG0000045,EV000079,ST003,2025-02-06T12:00:00Z,42.1,33.45,76.83,54.86,32.18,completed
CHG0000046,EV000183,ST001,2025-02-06T15:00:00Z,109.7,17.05,79.1,64.55,41.9,completed
CHG0000047,EV000279,ST003,2025-02-06T18:00:00Z,50.5,37.02,87.5,65.41,37.14,completed
CHG0000048,EV000440,ST003,2025-02-06T21:00:00Z,50.4,39.33,83.0,60.05,38.57,completed
CHG0000049,EV000089,ST002,2025-02-07T00:00:00Z,41.5,25.28,74.12,57.86,38.02,completed
CHG0000050,EV000321,ST003,2025-02-07T03:00:00Z,100.1,24.03,72.2,61.65,30.03,completed
CHG0000051,EV000069,ST001,2025-02-07T06:00:00Z,44.5,15.39,78.28,49.18,38.32,completed
CHG0000052,EV000363,ST004,2025-02-07T09:00:00Z,41.6,19.94,79.62,58.27,39.51,completed
CHG0000053,EV000252,ST002,2025-02-07T12:00:00Z,79.3,11.48,75.19,48.95,37.14,completed
CHG0000054,EV000168,ST002,2025-02-07T15:00:00Z,56.2,38.92,74.22,60.4,40.31,completed
CHG0000055,EV000062,ST002,2025-02-07T18:00:00Z,41.9,26.18,84.44,62.27,36.45,completed
CHG0000056,EV000253,ST002,2025-02-07T21:00:00Z,48.0,35.35,91.65,54.06,39.05,completed
CHG0000057,EV000112,ST003,2025-02-08T00:00:00Z,50.9,29.95,95.77,52.79,37.41,completed
CHG0000058,EV000285,ST002,2025-02-08T03:00:00Z,90.3,36.61,97.98,52.46,39.19,completed
CHG0000059,EV000045,ST001,2025-02-08T06:00:00Z,60.0,24.34,79.59,52.27,40.8,completed
CHG0000060,EV000205,ST004,2025-02-08T09:00:00Z,51.0,41.72,90.74,65.26,38.28,completed
CHG0000061,EV000284,ST001,2025-02-08T12:00:00Z,50.9,13.43,92.21,61.5,52.68,completed
CHG0000062,EV000141,ST002,2025-02-08T15:00:00Z,48.8,12.43,73.4,68.17,48.65,completed
CHG0000063,EV000360,ST002,2025-02-08T18:00:00Z,38.3,39.01,84.07,77.15,44.87,completed
CHG0000064,EV000344,ST004,2025-02-08T21:00:00Z,49.9,44.46,95.24,53.65,49.72,completed
CHG0000065,EV000465,ST002,2025-02-09T00:00:00Z,41.2,30.42,89.42,69.58,42.16,completed
CHG0000066,EV000338,ST002,2025-02-09T03:00:00Z,45.9,10.56,80.0,45.87,37.82,completed
CHG0000067,EV000283,ST002,2025-02-09T06:00:00Z,40.4,40.71,97.21,62.19,38.08,completed
CHG0000068,EV000120,ST002,2025-02-09T09:00:00Z,58.4,23.5,81.98,52.87,31.95,completed
CHG0000069,EV000340,ST004,2025-02-09T12:00:00Z,48.9,35.21,76.65,58.94,36.6,completed
CHG0000070,EV000192,ST002,2025-02-09T15:00:00Z,62.6,25.11,75.77,52.83,31.62,completed
CHG0000071,EV000394,ST002,2025-02-09T18:00:00Z,42.0,12.66,73.21,54.61,33.69,completed
CHG0000072,EV000057,ST002,2025-02-09T21:00:00Z,50.2,21.5,95.32,41.58,38.06,completed
CHG0000073,EV000241,ST004,2025-02-10T00:00:00Z,33.3,12.21,91.77,47.82,35.03,completed
CHG0000074,EV000295,ST004,2025-02-10T03:00:00Z,49.0,24.64,96.5,40.38,37.89,completed
CHG0000075,EV000225,ST003,2025-02-10T06:00:00Z,62.2,13.56,88.88,50.12,41.53,completed
CHG0000076,EV000175,ST004,2025-02-10T09:00:00Z,34.4,35.63,81.33,65.48,38.43,completed
CHG0000077,EV000247,ST001,2025-02-10T12:00:00Z,40.9,13.58,90.35,45.69,35.2,completed
CHG0000078,EV000271,ST004,2025-02-10T15:00:00Z,43.6,10.64,82.45,56.42,38.29,completed
CHG0000079,EV000090,ST001,2025-02-10T18:00:00Z,99.9,33.38,89.21,63.26,32.23,completed
CHG0000080,EV000352,ST003,2025-02-10T21:00:00Z,54.7,17.0,89.18,64.38,37.22,completed
CHG0000081,EV000447,ST001,2025-02-11T00:00:00Z,42.9,20.2,82.81,53.74,38.99,completed
CHG0000082,EV000357,ST004,2025-02-11T03:00:00Z,52.3,12.32,90.63,39.77,40.42,completed
CHG0000083,EV000158,ST001,2025-02-11T06:00:00Z,52.8,18.76,73.66,58.91,36.92,completed
CHG0000084,EV000494,ST002,2025-02-11T09:00:00Z,58.6,38.96,74.57,54.78,44.72,completed
CHG0000085,EV000302,ST001,2025-02-11T12:00:00Z,45.0,25.31,73.45,48.86,35.49,completed
CHG0000086,EV000278,ST002,2025-02-11T15:00:00Z,52.5,30.42,74.98,67.09,38.74,completed
CHG0000087,EV000295,ST004,2025-02-11T18:00:00Z,46.3,16.2,75.72,42.45,44.4,completed
CHG0000088,EV000139,ST002,2025-02-11T21:00:00Z,55.9,42.79,83.43,57.45,40.4,completed
CHG0000089,EV000193,ST001,2025-02-12T00:00:00Z,52.3,44.68,96.1,55.05,39.98,completed
CHG0000090,EV000295,ST003,2025-02-12T03:00:00Z,60.6,43.77,96.62,50.77,34.58,completed
CHG0000091,EV000319,ST002,2025-02-12T06:00:00Z,51.9,39.83,94.64,50.83,35.42,completed
CHG0000092,EV000007,ST002,2025-02-12T09:00:00Z,96.8,25.67,71.76,48.02,42.92,completed
CHG0000093,EV000045,ST003,2025-02-12T12:00:00Z,57.8,12.34,79.86,65.29,32.9,completed
CHG0000094,EV000382,ST001,2025-02-12T15:00:00Z,37.0,20.24,91.76,69.23,29.14,completed
CHG0000095,EV000181,ST004,2025-02-12T18:00:00Z,41.2,33.23,81.06,54.44,51.06,completed
CHG0000096,EV000232,ST002,2025-02-12T21:00:00Z,53.8,15.97,76.23,70.52,44.81,completed
CHG0000097,EV000207,ST003,2025-02-13T00:00:00Z,42.3,22.3,77.93,58.2,35.37,completed
CHG0000098,EV000120,ST003,2025-02-13T03:00:00Z,46.8,27.09,93.42,33.48,35.7,completed
CHG0000099,EV000031,ST003,2025-02-13T06:00:00Z,50.6,11.51,71.53,54.71,34.49,completed
CHG0000100,EV000272,ST001,2025-02-13T09:00:00Z,29.2,29.87,96.14,70.14,38.09,completed
CHG0000101,EV000499,ST004,2025-02-13T12:00:00Z,45.6,42.58,94.14,54.35,43.33,completed
CHG0000102,EV000348,ST002,2025-02-13T15:00:00Z,47.5,25.55,78.04,47.77,37.57,completed
CHG0000103,EV000057,ST003,2025-02-13T18:00:00Z,43.0,31.39,72.88,60.25,39.67,completed
CHG0000104,EV000154,ST004,2025-02-13T21:00:00Z,45.3,26.39,79.15,63.38,35.44,completed
CHG0000105,EV000277,ST003,2025-02-14T00:00:00Z,54.1,12.55,92.74,51.14,37.51,completed
CHG0000106,EV000134,ST004,2025-02-14T03:00:00Z,94.1,16.24,74.18,47.94,40.62,completed
CHG0000107,EV000015,ST001,2025-02-14T06:00:00Z,54.7,44.26,83.09,57.03,39.02,completed
CHG0000108,EV000225,ST004,2025-02-14T09:00:00Z,53.0,30.18,88.51,58.76,43.17,completed
CHG0000109,EV000092,ST002,2025-02-14T12:00:00Z,62.1,37.96,85.95,67.18,44.08,completed
CHG0000110,EV000255,ST003,2025-02-14T15:00:00Z,33.9,38.96,92.71,49.54,51.44,completed
CHG0000111,EV000256,ST003,2025-02-14T18:00:00Z,52.5,42.1,84.58,52.98,35.25,completed
CHG0000112,EV000021,ST004,2025-02-14T21:00:00Z,57.2,23.43,94.56,54.03,42.48,completed
CHG0000113,EV000150,ST002,2025-02-15T00:00:00Z,45.9,11.36,89.37,62.87,42.54,completed
CHG0000114,EV000367,ST001,2025-02-15T03:00:00Z,101.9,26.19,78.36,56.69,34.9,completed
CHG0000115,EV000197,ST003,2025-02-15T06:00:00Z,73.5,25.53,89.98,52.29,38.04,completed
CHG0000116,EV000115,ST002,2025-02-15T09:00:00Z,29.6,30.28,86.67,52.33,41.13,completed
CHG0000117,EV000424,ST003,2025-02-15T12:00:00Z,59.2,33.77,84.48,70.1,35.09,completed
CHG0000118,EV000411,ST001,2025-02-15T15:00:00Z,43.7,40.83,73.14,55.29,37.25,completed
CHG0000119,EV000115,ST002,2025-02-15T18:00:00Z,59.5,36.0,96.52,54.78,35.47,completed
CHG0000120,EV000206,ST001,2025-02-15T21:00:00Z,57.7,25.61,82.03,46.45,35.28,completed
CHG0000121,EV000316,ST003,2025-02-16T00:00:00Z,42.1,37.89,91.5,57.68,38.33,completed
CHG0000122,EV000064,ST003,2025-02-16T03:00:00Z,48.8,17.02,85.47,64.43,33.29,completed
CHG0000123,EV000276,ST002,2025-02-16T06:00:00Z,50.6,39.67,83.72,54.34,40.25,completed
CHG0000124,EV000481,ST003,2025-02-16T09:00:00Z,42.3,24.95,81.37,42.31,38.8,completed
CHG0000125,EV000201,ST003,2025-02-16T12:00:00Z,38.1,17.85,70.74,62.28,31.92,completed
CHG0000126,EV000221,ST003,2025-02-16T15:00:00Z,50.4,11.91,82.11,61.12,34.73,completed
CHG0000127,EV000348,ST004,2025-02-16T18:00:00Z,49.1,33.17,80.28,49.64,41.53,completed
CHG0000128,EV000171,ST004,2025-02-16T21:00:00Z,59.3,30.85,86.84,30.83,37.69,completed
CHG0000129,EV000467,ST002,2025-02-17T00:00:00Z,53.4,40.43,91.52,62.82,35.09,completed
CHG0000130,EV000259,ST001,2025-02-17T03:00:00Z,47.1,11.3,72.13,54.91,36.57,completed
CHG0000131,EV000290,ST001,2025-02-17T06:00:00Z,42.8,13.29,91.47,59.6,37.95,completed
CHG0000132,EV000057,ST004,2025-02-17T09:00:00Z,50.0,19.69,72.22,74.45,38.73,completed
CHG0000133,EV000006,ST002,2025-02-17T12:00:00Z,48.7,25.75,76.36,40.75,34.92,completed
CHG0000134,EV000350,ST001,2025-02-17T15:00:00Z,59.4,41.25,76.32,55.87,35.08,completed
CHG0000135,EV000176,ST004,2025-02-17T18:00:00Z,50.4,40.65,83.6,57.75,44.36,completed
CHG0000136,EV000465,ST001,2025-02-17T21:00:00Z,44.5,36.31,74.15,64.58,33.17,completed
CHG0000137,EV000351,ST001,2025-02-18T00:00:00Z,51.0,39.61,72.42,48.47,41.64,completed
CHG0000138,EV000302,ST002,2025-02-18T03:00:00Z,40.4,31.89,81.76,43.47,39.99,completed
CHG0000139,EV000457,ST003,2025-02-18T06:00:00Z,89.5,23.18,71.21,50.03,31.89,completed
CHG0000140,EV000154,ST003,2025-02-18T09:00:00Z,65.9,19.47,82.72,50.75,37.92,completed
CHG0000141,EV000278,ST002,2025-02-18T12:00:00Z,46.1,32.87,70.63,48.99,37.81,completed
CHG0000142,EV000251,ST002,2025-02-18T15:00:00Z,49.8,12.29,96.04,56.38,39.11,completed
CHG0000143,EV000103,ST002,2025-02-18T18:00:00Z,61.0,16.78,71.26,63.97,46.18,completed
CHG0000144,EV000060,ST002,2025-02-18T21:00:00Z,42.9,16.99,90.44,55.08,37.89,completed
CHG0000145,EV000472,ST004,2025-02-19T00:00:00Z,46.6,23.63,79.8,47.22,55.28,completed
CHG0000146,EV000002,ST002,2025-02-19T03:00:00Z,52.9,34.51,86.44,57.35,50.11,completed
CHG0000147,EV000205,ST004,2025-02-19T06:00:00Z,43.9,43.76,77.81,53.64,42.66,completed
CHG0000148,EV000004,ST003,2025-02-19T09:00:00Z,56.6,35.11,78.18,67.89,40.18,completed
CHG0000149,EV000015,ST003,2025-02-19T12:00:00Z,51.9,10.76,80.3,54.86,39.22,completed
CHG0000150,EV000274,ST002,2025-02-19T15:00:00Z,51.5,11.82,92.09,64.83,28.69,completed
CHG0000151,EV000140,ST004,2025-02-19T18:00:00Z,50.4,16.53,78.13,50.53,51.12,completed
CHG0000152,EV000381,ST002,2025-02-19T21:00:00Z,49.3,29.88,97.51,46.69,31.12,completed
CHG0000153,EV000298,ST002,2025-02-20T00:00:00Z,47.9,18.72,96.08,49.04,36.93,completed
CHG0000154,EV000202,ST003,2025-02-20T03:00:00Z,45.0,31.67,75.82,64.55,52.36,completed
CHG0000155,EV000369,ST004,2025-02-20T06:00:00Z,51.4,15.67,92.43,59.13,37.15,completed
CHG0000156,EV000346,ST003,2025-02-20T09:00:00Z,45.3,21.18,84.62,61.4,36.5,completed
CHG0000157,EV000132,ST001,2025-02-20T12:00:00Z,38.0,22.77,83.44,63.94,50.92,completed
CHG0000158,EV000438,ST001,2025-02-20T15:00:00Z,45.2,39.36,74.08,66.14,41.53,completed
CHG0000159,EV000085,ST002,2025-02-20T18:00:00Z,52.6,21.99,86.82,45.49,36.77,completed
CHG0000160,EV000151,ST002,2025-02-20T21:00:00Z,110.8,30.04,79.94,45.73,35.38,completed
CHG0000161,EV000239,ST004,2025-02-21T00:00:00Z,40.2,26.45,91.75,49.7,35.8,completed
CHG0000162,EV000111,ST004,2025-02-21T03:00:00Z,42.8,12.0,90.34,49.16,54.52,completed
CHG0000163,EV000365,ST003,2025-02-21T06:00:00Z,41.4,44.81,73.34,39.06,33.07,completed
CHG0000164,EV000499,ST003,2025-02-21T09:00:00Z,48.5,32.35,84.47,62.66,37.13,completed
CHG0000165,EV000201,ST003,2025-02-21T12:00:00Z,53.2,16.45,79.44,59.5,32.42,completed
CHG0000166,EV000273,ST002,2025-02-21T15:00:00Z,56.1,39.92,81.99,55.81,40.71,completed
CHG0000167,EV000183,ST004,2025-02-21T18:00:00Z,97.4,14.69,75.22,57.72,40.04,completed
CHG0000168,EV000444,ST001,2025-02-21T21:00:00Z,40.0,13.73,93.13,56.38,38.01,completed
CHG0000169,EV000264,ST002,2025-02-22T00:00:00Z,51.7,20.59,77.68,52.29,45.89,completed
CHG0000170,EV000274,ST002,2025-02-22T03:00:00Z,48.4,40.2,70.98,62.74,35.87,completed
CHG0000171,EV000306,ST004,2025-02-22T06:00:00Z,46.6,34.41,93.68,64.26,39.35,completed
CHG0000172,EV000423,ST001,2025-02-22T09:00:00Z,43.0,16.54,73.97,48.8,51.71,completed
CHG0000173,EV000197,ST004,2025-02-22T12:00:00Z,68.0,25.81,82.42,52.46,37.2,completed
CHG0000174,EV000395,ST003,2025-02-22T15:00:00Z,55.1,16.89,88.62,38.52,50.4,completed
CHG0000175,EV000139,ST004,2025-02-22T18:00:00Z,48.7,28.47,96.29,41.48,35.05,completed
CHG0000176,EV000319,ST002,2025-02-22T21:00:00Z,46.8,10.85,77.58,63.77,33.92,completed
CHG0000177,EV000440,ST002,2025-02-23T00:00:00Z,45.8,43.99,83.4,62.46,30.6,completed
CHG0000178,EV000357,ST002,2025-02-23T03:00:00Z,52.5,25.69,71.0,52.24,36.54,completed
CHG0000179,EV000265,ST002,2025-02-23T06:00:00Z,55.5,35.22,86.51,58.3,48.34,completed
CHG0000180,EV000343,ST002,2025-02-23T09:00:00Z,65.6,41.44,75.16,52.96,37.86,completed
CHG0000181,EV000258,ST004,2025-02-23T12:00:00Z,25.5,25.01,94.57,58.92,40.16,completed
CHG0000182,EV000089,ST003,2025-02-23T15:00:00Z,47.8,22.92,90.09,55.01,34.29,completed
CHG0000183,EV000421,ST002,2025-02-23T18:00:00Z,49.8,28.75,78.76,59.18,39.31,completed
CHG0000184,EV000421,ST001,2025-02-23T21:00:00Z,53.8,40.05,77.98,60.1,38.34,completed
CHG0000185,EV000357,ST001,2025-02-24T00:00:00Z,43.2,10.89,85.04,53.61,36.48,completed
CHG0000186,EV000263,ST004,2025-02-24T03:00:00Z,39.6,19.11,89.0,64.46,37.15,completed
CHG0000187,EV000281,ST002,2025-02-24T06:00:00Z,59.4,24.5,90.37,58.16,31.61,completed
CHG0000188,EV000446,ST002,2025-02-24T09:00:00Z,38.2,32.81,75.93,42.96,35.43,completed
CHG0000189,EV000133,ST001,2025-02-24T12:00:00Z,55.5,18.95,83.22,62.95,39.95,completed
CHG0000190,EV000179,ST002,2025-02-24T15:00:00Z,40.2,38.44,96.8,53.6,39.33,completed
CHG0000191,EV000186,ST003,2025-02-24T18:00:00Z,49.3,15.6,95.17,45.21,46.53,completed
CHG0000192,EV000445,ST003,2025-02-24T21:00:00Z,55.5,31.1,86.68,56.55,38.97,completed
CHG0000193,EV000073,ST001,2025-02-25T00:00:00Z,47.9,33.7,87.49,64.17,40.49,completed
CHG0000194,EV000144,ST001,2025-02-25T03:00:00Z,47.3,28.02,71.61,72.41,37.82,completed
CHG0000195,EV000256,ST004,2025-02-25T06:00:00Z,44.8,32.53,88.88,48.7,42.88,completed
CHG0000196,EV000260,ST001,2025-02-25T09:00:00Z,51.3,14.13,90.24,45.35,36.74,completed
CHG0000197,EV000380,ST004,2025-02-25T12:00:00Z,45.6,34.48,88.74,48.37,51.53,completed
CHG0000198,EV000447,ST001,2025-02-25T15:00:00Z,48.3,13.18,73.67,57.86,32.42,completed
CHG0000199,EV000064,ST003,2025-02-25T18:00:00Z,41.5,10.18,82.28,42.54,37.18,completed
CHG0000200,EV000167,ST004,2025-02-25T21:00:00Z,62.1,40.75,86.36,49.86,34.99,completed
CHG0000201,EV000023,ST003,2025-02-26T00:00:00Z,45.2,19.21,92.88,39.16,52.83,completed
CHG0000202,EV000480,ST004,2025-02-26T03:00:00Z,84.7,16.0,77.21,78.3,39.24,completed
CHG0000203,EV000018,ST004,2025-02-26T06:00:00Z,46.8,21.2,93.61,50.93,34.65,completed
CHG0000204,EV000279,ST003,2025-02-26T09:00:00Z,45.2,32.12,81.31,54.91,33.34,completed
CHG0000205,EV000179,ST004,2025-02-26T12:00:00Z,43.4,32.02,93.69,50.19,40.76,completed
CHG0000206,EV000013,ST001,2025-02-26T15:00:00Z,34.2,31.56,88.3,54.31,45.75,completed
CHG0000207,EV000433,ST002,2025-02-26T18:00:00Z,62.0,24.0,91.35,58.09,34.56,completed
CHG0000208,EV000014,ST002,2025-02-26T21:00:00Z,47.3,32.63,87.52,32.27,40.23,completed
CHG0000209,EV000214,ST002,2025-02-27T00:00:00Z,62.1,37.31,74.26,51.67,37.03,completed
CHG0000210,EV000025,ST002,2025-02-27T03:00:00Z,47.6,21.8,81.27,54.97,35.95,completed
CHG0000211,EV000005,ST003,2025-02-27T06:00:00Z,49.0,35.12,94.65,51.57,43.43,completed
CHG0000212,EV000493,ST001,2025-02-27T09:00:00Z,52.6,16.26,86.64,57.59,38.58,completed
CHG0000213,EV000217,ST003,2025-02-27T12:00:00Z,53.1,33.05,86.46,52.43,35.71,completed
CHG0000214,EV000153,ST002,2025-02-27T15:00:00Z,66.1,12.56,72.93,57.17,34.78,completed
CHG0000215,EV000245,ST002,2025-02-27T18:00:00Z,38.4,28.86,76.25,58.31,35.41,completed
CHG0000216,EV000473,ST002,2025-02-27T21:00:00Z,52.6,12.18,75.29,55.03,47.97,completed
CHG0000217,EV000291,ST002,2025-02-28T00:00:00Z,31.6,12.36,94.4,41.74,44.94,completed
CHG0000218,EV000329,ST004,2025-02-28T03:00:00Z,91.4,27.8,84.73,52.0,32.69,completed
CHG0000219,EV000461,ST001,2025-02-28T06:00:00Z,85.6,20.69,77.73,60.42,37.17,completed
CHG0000220,EV000008,ST002,2025-02-28T09:00:00Z,41.6,39.84,97.96,52.48,39.27,completed
CHG0000221,EV000346,ST003,2025-02-28T12:00:00Z,49.3,38.82,94.16,59.6,41.42,completed
CHG0000222,EV000185,ST002,2025-02-28T15:00:00Z,64.8,41.25,79.42,75.24,30.63,completed
CHG0000223,EV000053,ST003,2025-02-28T18:00:00Z,44.2,19.85,88.59,52.12,43.09,completed
CHG0000224,EV000319,ST003,2025-02-28T21:00:00Z,54.1,39.08,88.99,50.61,36.0,completed
CHG0000225,EV000478,ST004,2025-03-01T00:00:00Z,80.1,24.81,90.05,61.82,33.06,completed
CHG0000226,EV000155,ST004,2025-03-01T03:00:00Z,53.8,31.71,95.8,55.29,52.34,completed
CHG0000227,EV000227,ST004,2025-03-01T06:00:00Z,50.6,28.54,78.54,54.81,35.76,completed
CHG0000228,EV000401,ST001,2025-03-01T09:00:00Z,37.1,16.21,86.38,51.52,36.23,completed
CHG0000229,EV000420,ST004,2025-03-01T12:00:00Z,43.8,10.68,93.93,59.03,45.81,completed
CHG0000230,EV000058,ST003,2025-03-01T15:00:00Z,35.5,30.1,70.95,60.25,26.91,completed
CHG0000231,EV000150,ST002,2025-03-01T18:00:00Z,48.7,26.7,74.85,69.9,42.6,completed
CHG0000232,EV000102,ST002,2025-03-01T21:00:00Z,39.8,30.01,81.05,70.71,36.51,completed
CHG0000233,EV000111,ST003,2025-03-02T00:00:00Z,50.1,38.06,71.72,54.89,48.42,completed
CHG0000234,EV000011,ST001,2025-03-02T03:00:00Z,44.9,29.43,94.33,51.28,41.6,completed
CHG0000235,EV000499,ST002,2025-03-02T06:00:00Z,37.3,12.09,92.91,65.04,41.03,completed
CHG0000236,EV000314,ST003,2025-03-02T09:00:00Z,94.0,26.2,82.74,47.84,39.35,completed
CHG0000237,EV000268,ST001,2025-03-02T12:00:00Z,63.3,43.7,84.35,52.35,41.19,completed
CHG0000238,EV000252,ST002,2025-03-02T15:00:00Z,42.8,12.23,84.06,62.49,37.82,completed
CHG0000239,EV000265,ST004,2025-03-02T18:00:00Z,43.7,34.82,87.44,54.57,52.85,completed
CHG0000240,EV000297,ST001,2025-03-02T21:00:00Z,52.6,34.79,86.92,68.07,39.46,completed
CHG0000241,EV000422,ST004,2025-03-03T00:00:00Z,54.3,28.99,97.4,60.07,41.28,completed
CHG0000242,EV000119,ST001,2025-03-03T03:00:00Z,34.1,12.27,90.82,73.85,38.3,completed
CHG0000243,EV000359,ST002,2025-03-03T06:00:00Z,57.9,32.73,73.32,64.36,35.77,completed
CHG0000244,EV000313,ST002,2025-03-03T09:00:00Z,52.7,11.2,95.61,46.96,41.99,completed
CHG0000245,EV000454,ST003,2025-03-03T12:00:00Z,59.7,40.53,92.48,48.86,49.62,completed
CHG0000246,EV000404,ST004,2025-03-03T15:00:00Z,57.1,27.58,80.45,48.52,37.09,completed
CHG0000247,EV000328,ST002,2025-03-03T18:00:00Z,48.7,39.24,75.29,65.16,33.14,completed
CHG0000248,EV000082,ST002,2025-03-03T21:00:00Z,32.3,31.33,93.3,43.77,45.95,completed
CHG0000249,EV000105,ST004,2025-03-04T00:00:00Z,49.1,11.42,92.35,36.84,37.85,completed
CHG0000250,EV000322,ST003,2025-03-04T03:00:00Z,78.8,24.74,71.29,64.06,38.91,completed
CHG0000251,EV000122,ST003,2025-03-04T06:00:00Z,84.4,30.16,91.57,45.32,38.02,completed
CHG0000252,EV000008,ST004,2025-03-04T09:00:00Z,33.0,14.88,95.51,65.48,41.76,completed
CHG0000253,EV000323,ST004,2025-03-04T12:00:00Z,51.4,17.37,86.51,48.84,36.36,completed
CHG0000254,EV000220,ST004,2025-03-04T15:00:00Z,42.9,35.41,77.21,43.09,39.91,completed
CHG0000255,EV000465,ST001,2025-03-04T18:00:00Z,33.6,19.45,92.4,49.4,31.57,completed
CHG0000256,EV000431,ST001,2025-03-04T21:00:00Z,55.6,17.33,83.97,45.5,49.43,completed
